Resolution,Clusters,Total_markers,Avg_markers_per_cluster
0.05,6,60,1.6666666666666667
0.13,12,120,0.8333333333333334
0.22,14,140,0.7142857142857143
0.3,19,190,0.5263157894736842
0.38,21,210,0.47619047619047616
0.47,22,220,0.45454545454545453
0.55,23,230,0.8695652173913043
0.63,23,230,0.8695652173913043
0.72,25,250,0.88
0.8,26,260,0.8076923076923077
