names,scores,logfoldchanges,pvals,pvals_adj,cluster
Psmc4,13.433173,3.7497168,3.8648837846075474e-41,1.5068807189852909e-40,0
Snrpb2,13.16352,-2.1535199,1.422983392844523e-39,5.273680315428582e-39,0
Mrpl2,13.011643,2.9102924,1.0505861808124813e-38,3.7993287127361316e-38,0
Rpp21,12.691333,-4.882448,6.605225711912274e-37,2.2724741226254626e-36,0
Atmin,12.638421,-0.81945735,1.2963036600181066e-36,4.422801772706737e-36,0
Tspyl5,12.245134,2.9780219,1.783808166750918e-34,5.771647484547009e-34,0
Yeats4,12.193916,3.0676877,3.349306125476651e-34,1.0753594935581893e-33,0
Sra1,12.116832,-2.2960014,8.602065890081366e-34,2.7364723880130634e-33,0
Rsph9,12.11629,0.2895118,8.65913003112361e-34,2.753626382282834e-33,0
2310009B15Rik,11.916399,0.4059642,9.722080210969991e-33,3.014738902486827e-32,0
Gm57230,0.07096937,-3.3802056,0.9434221287986804,0.9917422951908988,1
Ifi47,0.07096937,-2.4197052,0.9434221287986804,0.9917422951908988,1
Irx5,0.062954955,-3.3043053,0.9498023738977723,0.9917422951908988,1
H2-Q6,0.054897156,-2.6705818,0.9562203988552009,0.9917422951908988,1
Cox8b,0.0515786,-3.3504474,0.9588644723836731,0.9917422951908988,1
Iglc3,0.0515786,-1.9289963,0.9588644723836731,0.9917422951908988,1
Kcne1l,0.046882734,-2.7209806,0.9626066893393572,0.9917422951908988,1
Gm13398,0.04354249,-4.136057,0.9652690959416483,0.9917422951908988,1
Gm17122,0.04354249,-3.0801637,0.9652690959416483,0.9917422951908988,1
Lypd3,0.04354249,-5.3034725,0.9652690959416483,0.9917422951908988,1
Sdhaf4,0.4055247,1.5825719,0.6850918707644031,0.9996546418273752,2
Hba-a2,0.22100408,2.2798815,0.825089252689829,0.9996546418273752,2
Rnf5,0.18394487,1.4915724,0.8540567090855664,0.9996546418273752,2
Rprm,0.13511223,-1.5826943,0.8925231393237103,0.9996546418273752,2
Gkn3,0.11165941,-1.8536377,0.9110934653200298,0.9996546418273752,2
Gm13660,0.08924058,-3.7090354,0.9288907178611575,0.9996546418273752,2
C030007H22Rik,0.083906114,-0.17394926,0.9331310755304085,0.9996546418273752,2
Gm49756,0.08204963,-7.084222,0.9346072461260779,0.9996546418273752,2
Amelx,0.081297636,-6.005465,0.9352052529231961,0.9996546418273752,2
Gm17215,0.081297636,-7.72929,0.9352052529231961,0.9996546418273752,2
Knop1,4.580105,5.6344814,4.647433221807517e-06,1.6719571686497238e-05,3
Bap1,4.3662624,5.100416,1.263907349568513e-05,4.392032118952441e-05,3
Paics,4.1109967,6.7592206,3.93954634871927e-05,0.0001320142031647525,3
Slc38a10,4.1075654,0.29371485,3.998515794239798e-05,0.00013392202014528865,3
Pnma8c,4.0965085,1.9371159,4.194278907759737e-05,0.00014017525264535782,3
G6pc3,3.9780693,1.50847,6.947709538451504e-05,0.00022808119855261038,3
Sema4a,3.7349062,-1.4521165,0.00018778517249247087,0.0005965127544561556,3
Kctd2,3.6771379,0.68901646,0.0002358655786217341,0.0007436749519190663,3
Rbmxl1,3.6389372,5.866459,0.0002737655217444767,0.0008589503462869171,3
Ptcd2,3.62943,3.4834614,0.0002840476251975074,0.0008898309478257313,3
Hba-a1,0.14230369,0.16553855,0.8868401327092225,0.9992696847184542,4
Gm16095,0.078105636,-4.2423706,0.9377440230191708,0.9992696847184542,4
Hsd3b5,0.065672494,-5.782381,0.947638570941296,0.9992696847184542,4
Aadacl4fm4,0.06410507,-5.037648,0.9488865657198821,0.9992696847184542,4
Gm15384,0.06410507,-5.289201,0.9488865657198821,0.9992696847184542,4
Gm38397,0.06410507,-7.283762,0.9488865657198821,0.9992696847184542,4
Prss40,0.06410507,-8.104468,0.9488865657198821,0.9992696847184542,4
Crct1,0.06410507,-5.4823213,0.9488865657198821,0.9992696847184542,4
4930451E10Rik,0.059376225,-3.4714224,0.9526524499521721,0.9992696847184542,4
C86187,0.059376225,-4.2611656,0.9526524499521721,0.9992696847184542,4
Bnip3,0.68675244,0.6973818,0.49223874112298316,0.9998892035951333,5
Fam177a,0.36901873,-1.2794428,0.7121137503077313,0.9998892035951333,5
Gcsh,0.35500178,2.1712544,0.7225882565083618,0.9998892035951333,5
