cell_type,cell_count,percentage
Unassigned,2705,43.34
Oligo,591,9.47
CA1-ProS,423,6.78
DG,382,6.12
CA3,346,5.54
Astro,213,3.41
L2/3 IT PPP,206,3.3
Pvalb,158,2.53
L6b/CT ENT,140,2.24
Sncg,130,2.08
SUB-ProS,128,2.05
Sst,128,2.05
L3 IT ENT,124,1.99
L2 IT ENTm,74,1.19
L4/5 IT CTX,71,1.14
Lamp5,68,1.09
CT SUB,65,1.04
L2 IT ENTl,56,0.9
NP SUB,55,0.88
VLMC,54,0.87
Vip,48,0.77
L2/3 IT CTX,31,0.5
Micro-PVM,25,0.4
SMC-Peri,12,0.19
Astro|Oligo,9,0.14
