cell_type,cell_count,percentage
Unassigned,2436,51.75
DG,868,18.44
CA1-ProS,375,7.97
Oligo,232,4.93
CA3,167,3.55
Astro,149,3.17
SUB-ProS,105,2.23
Sst,90,1.91
Pvalb,87,1.85
Sncg,76,1.61
Micro-PVM,51,1.08
DG|Oligo,43,0.91
L4/5 IT CTX,28,0.59
