UMAP1,UMAP2,cluster,cell_type
-0.6577149,0.53500825,0,Oligodendrocytes
4.3575287,-0.17239538,8,OPCs
0.5179246,3.862285,0,Microglia
-1.8453577,-2.6496794,5,Neurons
-2.5036724,7.950735,1,Astrocytes
4.9149218,10.370029,4,Neurons
-3.822381,8.76441,1,Neurons
-6.0978546,8.685366,1,Endothelial
5.613851,7.0429635,4,Neurons
6.8397546,1.4045317,8,OPCs
2.9582863,-2.580643,6,OPCs
9.70923,8.177179,2,Pericytes
-1.7431337,3.2061074,0,Oligodendrocytes
-2.79584,-1.9801518,5,Neurons
-3.3116238,4.179143,0,Neurons
-4.375566,-2.3742106,5,Neurons
1.7575213,-2.3311248,6,Astrocytes
-0.9049598,5.1522717,0,Neurons
-0.7810072,-2.3384404,5,Neurons
-6.221732,8.388613,1,Neurons
1.616756,3.4920478,0,Microglia
-5.270729,3.1375499,0,Microglia
8.95942,9.100288,2,Microglia
-5.443176,7.8295927,1,Astrocytes
-4.883607,8.741299,1,Neurons
-5.4552383,1.3077555,0,Neurons
0.9338592,13.964448,3,Microglia
-1.789374,13.388444,3,Microglia
0.7910853,14.328482,3,Microglia
4.9946938,7.942547,4,Microglia
-8.209256,6.815084,1,Astrocytes
-4.4893737,-2.6696093,5,Neurons
-2.8069785,13.058629,3,Neurons
-6.620717,3.038489,0,Neurons
6.853352,2.484918,8,OPCs
4.587828,-0.080534235,8,Oligodendrocytes
0.3182142,5.260989,0,Microglia
1.6693016,-2.4424047,6,Pericytes
3.5193188,10.098293,4,Neurons
-7.240353,6.5266623,1,Endothelial
0.044208586,7.448675,0,Neurons
-1.1027608,6.698551,0,Neurons
10.243589,10.467874,2,Microglia
1.3599187,3.8169923,0,Microglia
-0.15605028,14.515133,3,Neurons
1.2495944,10.686404,7,Oligodendrocytes
0.20051032,3.191584,0,OPCs
-1.2075187,3.3194394,0,Oligodendrocytes
-2.6036339,8.337018,1,Neurons
10.150161,10.118187,2,Endothelial
-8.367163,6.730531,1,Neurons
-5.9860687,1.8198671,0,Neurons
0.77022296,2.2581208,0,OPCs
-1.6986157,9.609102,1,Microglia
5.1067247,11.5232315,4,Endothelial
-3.8834248,10.102053,1,Neurons
4.069282,-3.2259965,6,Pericytes
-5.428029,7.1920238,1,Neurons
-5.374528,10.080821,1,Neurons
3.912949,9.203917,4,Microglia
-3.4387262,4.1411457,0,Neurons
-2.0428495,-2.6573756,5,Neurons
-7.664362,6.7645845,1,Astrocytes
-1.0302072,6.6527634,0,Neurons
1.4204361,8.969938,7,Neurons
-3.1432061,4.896141,0,Neurons
0.46240467,9.926313,7,Neurons
0.5698803,3.1262338,0,Microglia
2.9839988,5.807456,4,Neurons
1.375917,2.8182635,0,Pericytes
-0.73207337,-2.4042141,5,Oligodendrocytes
-5.9079437,5.1194916,1,Neurons
-3.2942698,-2.3754332,5,Neurons
0.050375078,12.980176,3,Endothelial
-1.7021825,3.3358335,0,OPCs
-2.3202693,9.573472,1,Neurons
-1.1557542,5.946237,0,Neurons
4.199187,0.6457957,8,Oligodendrocytes
4.538417,0.7997381,8,Oligodendrocytes
-6.105009,1.764459,0,Neurons
11.440215,10.716329,2,Neurons
-0.03367264,14.748882,3,Oligodendrocytes
2.3956199,-3.0788753,6,Astrocytes
-2.9136875,4.666224,0,OPCs
0.47286648,2.9878836,0,Neurons
10.890012,10.941926,2,Oligodendrocytes
-1.7681224,9.857793,1,Neurons
8.942315,9.423051,2,Endothelial
-1.4087336,4.349121,0,Pericytes
-2.3790247,4.155273,0,Neurons
0.4308852,2.705253,0,Oligodendrocytes
-4.1732807,-2.1413069,5,Microglia
-1.0476669,14.629396,3,Neurons
-0.35573316,9.306133,7,Neurons
-2.089729,11.151299,1,Neurons
-5.9002385,1.9943888,0,Pericytes
1.4163445,3.86787,0,OPCs
-6.0867085,11.963871,1,Neurons
0.70824534,13.715134,3,Endothelial
5.2859564,11.855518,4,Neurons
-5.8288207,7.0752945,1,Neurons
4.065961,9.505623,4,Endothelial
5.92266,6.943407,4,Endothelial
-5.1859937,2.1431596,0,Neurons
0.50069946,4.0217185,0,Microglia
-3.1624486,-2.818511,5,Endothelial
2.5683377,6.130868,4,Neurons
0.3576891,2.0265179,0,Endothelial
-7.048623,9.529433,1,Neurons
0.948047,1.6942984,0,Oligodendrocytes
8.2703495,9.492551,2,Microglia
7.2778325,8.934361,2,Microglia
-1.2950215,1.4024001,0,Oligodendrocytes
9.824943,9.212825,2,Microglia
6.186338,11.032877,4,OPCs
5.517478,11.106828,4,Endothelial
7.9814477,8.802001,2,Oligodendrocytes
-4.458872,1.3830614,0,Neurons
-3.7468338,6.3388486,0,Pericytes
-5.72831,8.569597,1,Neurons
-2.8793032,8.987295,1,Astrocytes
5.9022226,7.426632,4,Neurons
11.371819,11.020531,2,Neurons
-2.6196845,-2.592477,5,Astrocytes
4.351868,10.292208,4,Microglia
0.5505293,4.5348983,0,Neurons
11.544948,7.160327,2,Oligodendrocytes
0.88135666,2.238064,0,Microglia
-3.2751114,-2.3773396,5,Neurons
-7.6251893,7.4478283,1,Neurons
2.5246809,-2.1365418,6,Astrocytes
-1.8118727,7.2043653,0,Neurons
-1.6360375,1.5588404,0,Oligodendrocytes
-5.573446,7.6391983,1,Endothelial
