gene,score,pval,pval_adj
Meis2,14.674678,9.365937918977399e-49,3.1559464411786244e-44
Dlx6os1,12.357807,4.42053790350948e-35,7.447722259832771e-31
Pcbp3,11.310665,1.1620485732323125e-29,1.3052129574545332e-25
Sox2ot,9.307038,1.3144614131276615e-20,1.107302294418742e-16
Synpr,9.009924,2.0619946052116606e-19,1.3896194043442424e-15
Htr1f,8.835394,9.974582645649404e-19,5.601725613796705e-15
Gad2,8.80889,1.2639067981639798e-18,6.084086210133352e-15
Gad1,8.483219,2.19047777144698e-17,9.22629237333468e-14
Pbx3,8.462287,2.621838813462612e-17,9.816164517604018e-14
Nhs,8.286365,1.1676255356550437e-16,3.934431004943236e-13
Adarb2,7.732899,1.0512459140960856e-14,3.220252938307427e-11
Ptprm,7.663322,1.811844895097779e-14,5.087660465434563e-11
Lhfpl3,7.436151,1.036612909538332e-13,2.6869006615233565e-10
Pde1c,7.3228407,2.427761423707422e-13,5.843274923803235e-10
Nxph1,7.156742,8.261678294039422e-13,1.8559034119730157e-09
Spock3,7.0992255,1.2545786185994932e-12,2.6421425707705326e-09
Dcx,6.7790527,1.2096618651461861e-11,2.26448701155366e-08
Frmd7,6.686381,2.2875692782282804e-11,4.0569439157463235e-08
Dock10,6.494622,8.324212880876266e-11,1.4024633861700334e-07
Zfp804b,6.2921224,3.1315483567083596e-10,4.5878544968541255e-07
