gene,score,pval,pval_adj
Nrg1,26.713398,3.2893689595048495e-157,1.108385764594754e-152
Ptprd,26.037195,1.8788102499973348e-149,3.1654195091955095e-145
Cobl,25.0394,2.2776245164876468e-138,2.5582278569189247e-134
Nwd2,24.523222,8.352169149285934e-133,7.03586729135847e-129
Arpp21,24.4461,5.536794324211586e-132,3.731356430972672e-128
Rasgef1b,24.380478,2.7554131009390124e-131,1.5474399974873494e-127
Lingo2,24.335196,8.317691528124402e-131,4.003899053309712e-127
Dpp10,24.287498,2.6572943888403514e-130,1.1192523965795559e-126
Mef2c,24.046206,9.14667233905395e-128,3.4245141237417984e-124
Car10,23.7268,1.9076085472576183e-124,6.427877760839271e-121
Rgs6,23.461706,1.0039897739108144e-121,3.075494492881709e-118
Cacna2d1,23.38793,5.670899478936738e-121,1.592388573685436e-117
R3hdm1,23.358122,1.1396570180213132e-120,2.953990990711244e-117
Camk2d,23.308353,3.647720926913779e-120,8.779543168091907e-117
Gm26871,23.297289,4.7227593683138266e-120,1.060920664498018e-116
Negr1,23.254404,1.283848993295613e-119,2.657614345368302e-116
Grm7,23.25254,1.3407954615165342e-119,2.657614345368302e-116
Celf2,23.242731,1.68492778463324e-119,3.154184812833425e-116
Nlgn1,23.223284,2.649506157362964e-119,4.698829446236971e-116
Sorbs2,23.17458,8.218060728997623e-119,1.3845788716215197e-115
