cluster,rank,gene,score,pval,pval_adj
cluster_0,0,Pnmt,0.06369039,0.9492167579493516,1.0
cluster_0,1,Lrrc15,0.04131373,0.9670457882155562,1.0
cluster_0,2,Gm28510,0.04131373,0.9670457882155562,1.0
cluster_0,3,Gm16025,0.04131373,0.9670457882155562,1.0
cluster_0,4,Smim23,0.04131373,0.9670457882155562,1.0
cluster_0,5,BC039966,0.031845193,0.9745955050341313,1.0
cluster_0,6,Or5m5,0.031845193,0.9745955050341313,1.0
cluster_0,7,Gm28199,0.031845193,0.9745955050341313,1.0
cluster_0,8,Teddm1a,0.031845193,0.9745955050341313,1.0
cluster_0,9,Oosp2,0.031845193,0.9745955050341313,1.0
cluster_0,10,Gm44659,0.031845193,0.9745955050341313,1.0
cluster_0,11,Gm12037,0.031845193,0.9745955050341313,1.0
cluster_0,12,Lncbate3,0.031845193,0.9745955050341313,1.0
cluster_0,13,Gm41183,0.031845193,0.9745955050341313,1.0
cluster_0,14,Gm20465,0.031845193,0.9745955050341313,1.0
cluster_0,15,Gje1,0.031845193,0.9745955050341313,1.0
cluster_0,16,Ms4a18,0.031845193,0.9745955050341313,1.0
cluster_0,17,Hoxc5,0.031845193,0.9745955050341313,1.0
cluster_0,18,ENSMUSG00000121512,0.031845193,0.9745955050341313,1.0
cluster_0,19,Ighv1-39,0.031845193,0.9745955050341313,1.0
cluster_1,0,Grip1,40.655956,0.0,0.0
cluster_1,1,Kcnc2,39.7518,0.0,0.0
cluster_1,2,Galntl6,39.716476,0.0,0.0
cluster_1,3,Nrxn3,39.555866,0.0,0.0
cluster_1,4,Erbb4,39.358997,0.0,0.0
cluster_1,5,Frmd5,39.34226,0.0,0.0
cluster_1,6,Spock3,39.298935,0.0,0.0
cluster_1,7,Cntnap2,39.21458,0.0,0.0
cluster_1,8,Elavl2,39.2001,0.0,0.0
cluster_1,9,Frmpd4,39.114727,0.0,0.0
cluster_1,10,Magi2,39.02979,0.0,0.0
cluster_1,11,Slc24a2,39.011246,0.0,0.0
cluster_1,12,Pde4d,38.924385,0.0,0.0
cluster_1,13,Dock4,38.877975,0.0,0.0
