gene,score,pval,pval_adj
Siglech,1.6914401,0.09075278818266326,0.3673721709037748
Apbb1ip,1.6045742,0.10858755251101027,0.4263535503858077
Dock8,1.5717837,0.11600071841635165,0.4497480390930141
Inpp5d,1.5288541,0.1263006087189261,0.48273880573876293
Lrmda,1.2927774,0.1960880700224178,0.6845610865598207
Ly86,1.2558881,0.20915653407734736,0.7202594350812771
Nckap1l,1.2458209,0.2128301596556854,0.7301491610423514
Zfhx3,1.0886282,0.27631790537959033,0.8970814278514959
Fcrls,1.0661926,0.2863365997893428,0.9217921148850381
P2ry12,1.0586421,0.2897627871920493,0.9307766327190937
Rhoh,0.9949309,0.3197698745079107,1.0
Dock2,0.9860142,0.32412614513388194,1.0
Runx1,0.96314716,0.3354736659374714,1.0
Cfh,0.8830407,0.3772142704747945,1.0
Selplg,0.87117577,0.3836581930470444,1.0
Csf1r,0.8261608,0.40871287158144964,1.0
Mertk,0.77618414,0.43764025458436395,1.0
Il6ra,0.7057135,0.48036633118131555,1.0
Ikzf1,0.68752056,0.49175475650254397,1.0
Fgd2,0.664294,0.5065021677438022,1.0
