cell_type,cell_count,percentage
Unassigned,6079,63.91
CA3-Pyr,1189,12.5
MOL,863,9.07
GABA,500,5.26
MiCajal-Retziusoglia,467,4.91
OPC,286,3.01
NFOL,54,0.57
Endothelial,49,0.52
MOL|OPC,25,0.26
