cell_type,cell_count,percentage
Unassigned,2852,60.59
CA3-Pyr,1050,22.31
GABA,322,6.84
GC-juv,228,4.84
MOL,96,2.04
Endothelial,59,1.25
MiCajal-Retziusoglia,51,1.08
OPC,34,0.72
Ependymal,15,0.32
