cell_type,cell_count,percentage
Unassigned,3209,51.41
CA3-Pyr,2007,32.15
GABA,760,12.18
MOL,96,1.54
OPC,74,1.19
Endothelial,53,0.85
MiCajal-Retziusoglia,25,0.4
NFOL,18,0.29
