cell_type,cell_count,percentage
Unassigned,4211,45.59
CA3-Pyr,2389,25.86
GABA,1222,13.23
MOL,647,7.0
OPC,323,3.5
MiCajal-Retziusoglia,320,3.46
NFOL,78,0.84
Cajal-Retzius,37,0.4
Ependymal,10,0.11
