Excitatory neurons,Inhibitory neurons,Astrocytes,Microglia,Oligos,Endothelial cells,Ependymal cells,Neuroblast/progenitors
Slc17a7,Gad1,Aldh1l1,Aif1,Mbp,Cldn5,Foxj1,Sox4
Slc17a6,Gad2,Gfap,Csf1r,Olig1,Cxcl12,Tuba1a,Eomes
Camk2a,Slc32a1,Aqp4,Cx3cr1,Olig2,Pdgfrb,Prom1,Sox2
Grin1,Syt6,Slc1a2,P2ry12,Mog,Cspg4,Nes,Nfib
Gria1,Erbb4,Sox9,Hexb,Plp1,Efemp1,Calml4,Neurod2
