Resolution,Clusters,Total_markers,Avg_markers_per_cluster
0.05,7,70,1.4285714285714286
0.13,12,120,0.8333333333333334
0.22,14,140,0.7142857142857143
0.3,18,180,0.5555555555555556
0.38,19,190,0.5263157894736842
0.47,23,230,0.43478260869565216
0.55,25,250,0.4
0.63,25,250,0.4
0.72,26,260,0.5384615384615384
0.8,30,300,0.4
