names,scores,logfoldchanges,pvals,pvals_adj,cluster
Bex2,10.836514,-3.5507865,2.3110980907959195e-27,6.955952096807327e-27,0
Sst,9.80767,2.4946918,1.0435048348719664e-22,2.9727356622253234e-22,0
Prdx5,9.180791,1.6489664,4.2793780888994913e-20,1.1785791158821342e-19,0
Il17ra,8.969202,1.8297377,2.986703195923509e-19,8.13379460421874e-19,0
Ubxn1,8.777202,1.1821914,1.675925974285143e-18,4.519769357066019e-18,0
Cdk5r2,8.259898,-0.95905554,1.4579626342028462e-16,3.832144937502344e-16,0
Primpol,8.176493,-0.7634118,2.9222637934261453e-16,7.640163679937407e-16,0
Dctn3,7.9158025,1.5897427,2.456632432794197e-15,6.330188933915728e-15,0
Ubqln2,7.8999767,1.8734162,2.7895553970450745e-15,7.182382642909839e-15,0
Lrrc51,7.7651253,-3.1810148,8.156443091521058e-15,2.0840339026068932e-14,0
Zc2hc1c,0.15055943,-1.6222638,0.8803232710223151,0.9998482351547894,1
Gm56854,0.11400596,-7.6280437,0.9092330701170049,0.9998482351547894,1
Gm28342,0.10762999,-6.3581543,0.9142892034475436,0.9998482351547894,1
Tmem252,0.10759285,-3.2185063,0.9143186670171022,0.9998482351547894,1
Nxf7,0.10125403,-5.7918606,0.9193488077034312,0.9998482351547894,1
Or56b35,0.10125403,-4.763093,0.9193488077034312,0.9998482351547894,1
Or10ad1b,0.10123546,-4.6113286,0.9193635492860436,0.9998482351547894,1
Gm16146,0.100591674,-4.157499,0.9198746079154178,0.9998482351547894,1
Hephl1,0.09487806,-4.5222354,0.9244116794433631,0.9998482351547894,1
Gm27007,0.094859496,-3.4695942,0.9244264302453894,0.9998482351547894,1
Rhox4b,0.08854415,-4.645475,0.9294441908899396,0.9998302545023267,2
Soat2,0.08457769,-4.408095,0.9325971400885628,0.9998302545023267,2
Gm13647,0.08455632,-5.961827,0.9326141247701396,0.9998302545023267,2
Ube2c,0.08453496,-6.4059343,0.9326311094823978,0.9998302545023267,2
ENSMUSG00000121508,0.083196186,-5.904577,0.9336955456587777,0.9998302545023267,2
Gm29685,0.08318194,-4.399118,0.9337068700886176,0.9998302545023267,2
4921529L05Rik,0.08318194,-6.7662277,0.9337068700886176,0.9998302545023267,2
Gm17308,0.08318194,-6.072682,0.9337068700886176,0.9998302545023267,2
Frmpd1os,0.08318194,-3.2201529,0.9337068700886176,0.9998302545023267,2
Hnf4aos,0.07926532,-6.933767,0.9368215895250204,0.9998302545023267,2
Gm10101,0.07123114,-3.8442967,0.9432137963546454,0.9955432677641628,3
1700003C15Rik,0.05738194,-4.2885556,0.9542409491567206,0.9955432677641628,3
Gm11770,0.05738194,-6.167917,0.9542409491567206,0.9955432677641628,3
Gm26576,0.05738194,-4.854386,0.9542409491567206,0.9955432677641628,3
Gm57030,0.056798078,-5.275522,0.954706044929861,0.9955432677641628,3
Gm21860,0.05676694,-5.1086144,0.9547308504724019,0.9955432677641628,3
Gm15326,0.052547563,-3.8829288,0.9580923970486331,0.9955432677641628,3
Wfdc1,0.052547563,-3.7030244,0.9580923970486331,0.9955432677641628,3
4930534H18Rik,0.05253978,-3.5288074,0.9580985998713453,0.9955432677641628,3
Platr27,0.05253978,-2.2814195,0.9580985998713453,0.9955432677641628,3
Gm10101,0.07157155,-3.9560359,0.9429428797446154,0.9942899332943465,4
Gm42205,0.06673774,-3.328914,0.9467904858918295,0.9942899332943465,4
Vmn2r98,0.057514526,-10.818134,0.9541353356424056,0.9942899332943465,4
Ccdc27,0.057163686,-3.708278,0.9544148064174861,0.9942899332943465,4
S100a9,0.052688513,-7.3662586,0.9579800913467814,0.9942899332943465,4
Gm44773,0.052688513,-2.927451,0.9579800913467814,0.9942899332943465,4
Gm46416,0.052688513,-4.05755,0.9579800913467814,0.9942899332943465,4
Gm14409,0.052680716,-4.483714,0.9579863033988872,0.9942899332943465,4
Gm28180,0.052680716,-3.227475,0.9579863033988872,0.9942899332943465,4
Tcp10a,0.052680716,-2.8433478,0.9579863033988872,0.9942899332943465,4
Myo7b,0.13013141,-1.6641351,0.8964624590339525,0.9994637676090194,5
Oas1b,0.08841229,-1.9896846,0.9295489935822445,0.9994637676090194,5
5730507C01Rik,0.08398644,-4.1402416,0.9330672166698026,0.9994637676090194,5
Plaur,0.07920587,-2.0668607,0.9368688776765782,0.9994637676090194,5
Nsl1,0.07486063,-3.518219,0.940325601675118,0.9994637676090194,5
Gm39232,0.07468327,-2.794944,0.9404667167794082,0.9994637676090194,5
Emilin1,0.074602656,-1.6599715,0.9405308606268014,0.9994637676090194,5
Prss23os,0.07452204,-3.3151572,0.9405950048599707,0.9994637676090194,5
Gm14264,0.07445755,-0.97784644,0.9406463205239866,0.9994637676090194,5
Gm4951,0.070088126,-3.9800823,0.944123519646676,0.9994637676090194,5
Gm35548,0.074727625,-3.96212,0.9404314296889413,0.9999224437574941,6
Gm42031,0.07468728,-4.49502,0.940463527433039,0.9999224437574941,6
Gm43731,0.07016102,-7.630462,0.9440654962446882,0.9999224437574941,6
9330171B17Rik,0.070128754,-6.5063744,0.9440911829267044,0.9999224437574941,6
Gm11842,0.070112616,-7.4144754,0.944104026289515,0.9999224437574941,6
Gm3519,0.070112616,-4.011104,0.944104026289515,0.9999224437574941,6
Gm48422,0.065513745,-5.6891503,0.9477649640403667,0.9999224437574941,6
Nppa,0.0608826,-5.1242056,0.9514527072050553,0.9999224437574941,6
Trarg1,0.0608826,-5.536897,0.9514527072050553,0.9999224437574941,6
Vmn2r6,0.060866464,-4.1586547,0.9514655583481723,0.9999224437574941,6
Gm13595,0.0820458,-6.081825,0.9346102894677017,0.999526976866988,7
3300002P09Rik,0.07310715,-5.2093506,0.9417208469856266,0.999526976866988,7
Gm44169,0.07309051,-8.217769,0.9417340927586303,0.999526976866988,7
Gm28586,0.06862119,-4.126163,0.9452911540851423,0.999526976866988,7
Gm57239,0.064168505,-4.8313594,0.9488360525922488,0.999526976866988,7
Lnp1,0.064135216,-5.167024,0.9488625604087674,0.999526976866988,7
Gm44265,0.06410193,-8.322224,0.9488890682818836,0.999526976866988,7
D830039M14Rik,0.059699185,-10.899107,0.952395221653702,0.999526976866988,7
Gm20416,0.059665892,-5.8869185,0.9524217368066917,0.999526976866988,7
Gm10390,0.059632603,-2.1749406,0.9524482520123495,0.999526976866988,7
Mx2,0.08566049,-3.5075428,0.9317363104759943,0.999370759223868,8
Gm29157,0.06226891,-5.7722087,0.9503486867820785,0.999370759223868,8
Gm57275,0.06226891,-4.484714,0.9503486867820785,0.999370759223868,8
Gm56679,0.06226891,-4.313616,0.9503486867820785,0.999370759223868,8
Gm45538,0.058329962,-4.1286306,0.9534858024814958,0.999370759223868,8
Or2d3,0.05832065,-3.25056,0.9534932197038782,0.999370759223868,8
Gm15392,0.05832065,-7.5723577,0.9534932197038782,0.999370759223868,8
Asz1,0.05832065,-5.3900843,0.9534932197038782,0.999370759223868,8
Gm11131,0.058311336,-3.250786,0.9535006369302889,0.999370759223868,8
Otop1,0.058311336,-3.9740946,0.9535006369302889,0.999370759223868,8
Gm14209,0.05017344,-5.183048,0.9599841778548495,0.9966722400439145,9
1700003D09Rik,0.05016234,-6.360133,0.9599930195767159,0.9966722400439145,9
Msx1,0.046922483,-5.5470457,0.9625750083687163,0.9966722400439145,9
Ankrd53,0.04367153,-6.442432,0.9651662341251093,0.9966722400439145,9
Gm35909,0.043660432,-3.937312,0.9651750785445515,0.9966722400439145,9
Or2c1,0.04364934,-5.921041,0.9651839229682783,0.9966722400439145,9
Gm12462,0.04364934,-5.81569,0.9651839229682783,0.9966722400439145,9
Slc6a4,0.043638244,-4.1624436,0.9651927673962883,0.9966722400439145,9
Gm56685,0.043638244,-6.004649,0.9651927673962883,0.9966722400439145,9
Apobr,0.04040948,-5.597127,0.967766673422717,0.9966722400439145,9
Tubb4b,0.44961205,2.7898366,0.6529901903609592,1.0,10
Gm49497,0.33243415,4.3561845,0.7395614560968918,1.0,10
Ms4a1,0.3121941,1.3539791,0.7548930015800179,1.0,10
Nme1,0.28794524,5.512235,0.7733886494590707,1.0,10
Rps2,0.2522804,0.71719146,0.8008243346181778,1.0,10
Atp5o,0.24456224,3.8944364,0.8067954080628637,1.0,10
Vkorc1,0.23707446,-0.301225,0.8125990250056406,1.0,10
Pald1,0.23231684,2.4271846,0.8162919306559335,1.0,10
4930441J16Rik,0.22381534,3.587891,0.8229009931260212,1.0,10
Mettl14,0.21917292,3.2838976,0.8265153494881675,1.0,10
Gm40117,0.13423103,-3.44323,0.8932198905848869,0.9998420009245106,11
Slc6a13,0.12822649,-1.8409528,0.8979697426043542,0.9998420009245106,11
Acox2,0.12631916,-2.7530568,0.8994792927782961,0.9998420009245106,11
Rs1,0.12615433,-2.307893,0.8996097648844106,0.9998420009245106,11
Gm31223,0.12257515,-3.341507,0.9024435366105537,0.9998420009245106,11
4932414N04Rik,0.10052316,-2.3809073,0.919928998624688,0.9998420009245106,11
Hp,0.09334125,-3.517874,0.9256324620554113,0.9998420009245106,11
Tagln2,0.08542938,-7.0215616,0.9319200378712766,0.9998420009245106,11
Gm5617,0.08528809,-2.0041826,0.9320323558089125,0.9998420009245106,11
Gm48250,0.07915404,-2.3521628,0.9369101008935288,0.9998420009245106,11
Ube2v1,1.3554751,3.0306165,0.17526625030645193,0.7107339241253866,12
Gpkow,1.135655,7.078634,0.25610097691499856,0.9425888565016767,12
Arhgap29,0.916906,3.3958552,0.3591918865994129,0.9996744604122144,12
Mob1a,0.9025916,11.130447,0.3667426995218733,0.9996744604122144,12
Gm49497,0.88468593,7.6234984,0.3763260558343111,0.9996744604122144,12
Rpl22,0.84583783,2.6488063,0.39764323159338777,0.9996744604122144,12
Pa2g4,0.7272774,2.5820699,0.4670560587775541,0.9996744604122144,12
Trabd,0.6957125,7.051141,0.4866088986241389,0.9996744604122144,12
Zfp719,0.6909116,6.4580135,0.48962108930847636,0.9996744604122144,12
Lsm14b,0.69050837,3.5214262,0.48987453778865275,0.9996744604122144,12
Vsig2,0.031143893,-4.2325273,0.9751547856014274,0.9992526458932314,13
Ccdc105,0.031088771,-3.2810378,0.9751987452544152,0.9992526458932314,13
Gm49944,0.02593487,-3.8286178,0.9793092874395978,0.9992526458932314,13
Gm34418,0.02592109,-3.7868176,0.9793202789792865,0.9992526458932314,13
Gm12446,0.02338548,-3.5781627,0.9813427869407897,0.9992526458932314,13
H4c3,0.02079475,-3.1427736,0.9834093862395283,0.9992526458932314,13
Esm1,0.02078097,-3.8615484,0.9834203790989682,0.9992526458932314,13
Rassf10,0.020767188,-3.9198956,0.9834313719615561,0.9992526458932314,13
Gm27198,0.018204018,-4.064432,0.9854760968763459,0.9992526458932314,13
Marveld3,0.018190239,-3.7934115,0.985487090290937,0.9992526458932314,13
P2ry6,0.25075698,1.554125,0.8020019999119368,0.9998532580378996,14
Ddx60,0.10753634,-0.4266228,0.9143634966257886,0.9998532580378996,14
Mpeg1,0.09287229,2.6527958,0.9260050164774629,0.9998532580378996,14
Alox5,0.07894234,-1.9227412,0.9370784815087194,0.9998532580378996,14
Ppp1r3b,0.07380366,-0.90096164,0.9411666127149031,0.9998532580378996,14
S100a3,0.071583465,-0.41489097,0.9429333993353916,0.9998532580378996,14
Tyrobp,0.06853965,2.605819,0.9453560614572555,0.9998532580378996,14
Il23a,0.044762045,-2.4941804,0.96429697714182,0.9998532580378996,14
C1qtnf6,0.04028584,-2.318031,0.9678652410788982,0.9998532580378996,14
D030051J21Rik,0.038101453,-1.3538238,0.9696067919456396,0.9998532580378996,14
mt-Atp6,0.59092647,5.146017,0.5545696945691481,0.9999188570192596,15
Septin10,0.3638905,2.3213549,0.7159397687095783,0.9999188570192596,15
Pmp22,0.3479423,1.3815037,0.7278835154890508,0.9999188570192596,15
