names,scores,logfoldchanges,pvals,pvals_adj,cluster
Kremen1,9.238102,2.6919906,2.5090900386423683e-20,7.227586329437312e-20,0
Dctd,8.712432,1.6503662,2.9742329797598167e-18,8.276912616703895e-18,0
Shroom3,8.564939,2.7888117,1.0813373179163262e-17,2.975273862402629e-17,0
Arl10,8.155283,6.0282984,3.4836190215742986e-16,9.34948455908478e-16,0
Psmb5,8.023198,3.1933925,1.0302723081692937e-15,2.7388911859899877e-15,0
Gm36198,7.907106,1.6109928,2.634416336772743e-15,6.948159926024331e-15,0
Enpp4,7.7182474,7.081792,1.1794029389854294e-14,3.072735592334743e-14,0
Rab33a,7.7029,0.7591037,1.3301274946384543e-14,3.462657319691786e-14,0
Dctn3,7.586007,0.75131005,3.2991474198139525e-14,8.513770957282941e-14,0
Ntsr2,7.4956617,3.4308088,6.596475656332381e-14,1.69124614120646e-13,0
Gm12126,0.091553055,-6.75024,0.9270531489942654,0.9995904043377023,1
Gm17218,0.08778605,-4.3652897,0.9300467251191964,0.9995904043377023,1
Gm57474,0.08500142,-7.1416807,0.9322602623755342,0.9995904043377023,1
Gm28342,0.08500142,-5.070772,0.9322602623755342,0.9995904043377023,1
Syt15,0.08498665,-5.007316,0.9322720066911143,0.9995904043377023,1
Gm11614,0.08498665,-4.5970554,0.9322720066911143,0.9995904043377023,1
H2-D1,0.08460256,-6.0997615,0.9325773640641334,0.9995904043377023,1
Gm16938,0.07986795,-3.5208056,0.9363422820854569,0.9995904043377023,1
Gm7347,0.07985318,-7.0888443,0.9363540313715566,0.9995904043377023,1
Prr27,0.07985318,-3.5801318,0.9363540313715566,0.9995904043377023,1
Gm10101,0.07174222,-4.0156116,0.9428070558519694,0.9941330188421488,2
Gm42205,0.06691259,-3.3693016,0.9466512888035037,0.9941330188421488,2
Ccdc27,0.057346962,-3.761764,0.954268811366115,0.9941330188421488,2
Gm46416,0.052759204,-4.101663,0.9579237656390708,0.9941330188421488,2
Gm44773,0.052759204,-2.946667,0.9579237656390708,0.9941330188421488,2
S100a9,0.052759204,-7.913055,0.9579237656390708,0.9941330188421488,2
Gm43732,0.052751403,-3.146726,0.9579299823230835,0.9941330188421488,2
Tcp10a,0.052751403,-2.8619823,0.9579299823230835,0.9941330188421488,2
Or2r3,0.052751403,-3.5384831,0.9579299823230835,0.9941330188421488,2
Gm28180,0.052751403,-3.2527604,0.9579299823230835,0.9941330188421488,2
Gm10101,0.0752223,-6.9791083,0.9400378420411042,0.9952521793150287,3
1700003C15Rik,0.05894196,-6.9164944,0.9529983369322008,0.9952521793150287,3
Gm15326,0.05420442,-5.353931,0.9567722986687397,0.9952521793150287,3
Wfdc1,0.05420442,-4.9870415,0.9567722986687397,0.9952521793150287,3
4930534H18Rik,0.0541965,-4.5890355,0.9567786104768571,0.9952521793150287,3
Platr27,0.0541965,-2.5871987,0.9567786104768571,0.9952521793150287,3
ENSMUSG00000121430,0.0541965,-2.9687438,0.9567786104768571,0.9952521793150287,3
Gm32673,0.05159006,-5.1008444,0.9588553401178186,0.9952521793150287,3
Gm33318,0.049466882,-3.531231,0.9605472296645688,0.9952521793150287,3
Tfap2a,0.049466882,-7.9318166,0.9605472296645688,0.9952521793150287,3
Utp11,2.941307,2.097437,0.0032683031276231366,0.011324707225511321,4
Atp5o,2.586177,0.31019974,0.009704701760029898,0.031600223662088874,4
Polr2m,2.549732,3.6287947,0.010780574193445764,0.034872825533403644,4
Rab4b,2.4145448,1.0811996,0.01575488752633372,0.04962266626429432,4
Cotl1,2.3904414,4.9269958,0.016828137027947946,0.052792766980560436,4
Tbccd1,2.252552,2.4584937,0.024287407395543872,0.0740310589868844,4
Mcur1,2.1660326,3.1658864,0.030308703651951176,0.09098189598500701,4
Rpl10,2.1229992,6.8736467,0.03375391774636834,0.10057187526735349,4
2900093K20Rik,2.0890176,0.51267964,0.036706137007539434,0.10869798515793709,4
Sec61g,2.0863395,1.7411827,0.03694788425013611,0.10930436586580987,4
Bnc2,0.09426734,-1.5177826,0.9248967963845254,0.999750900483136,5
Gm16146,0.08580745,-6.617919,0.9316194865208881,0.999750900483136,5
Gm43646,0.08382253,-3.6175933,0.933197531178503,0.999750900483136,5
Gm47896,0.082261816,-8.532943,0.9344385171309256,0.999750900483136,5
Gm29100,0.0822298,-4.6807003,0.9344639749310382,0.999750900483136,5
Hoatz,0.08217378,-4.0441284,0.9345085262424848,0.999750900483136,5
Ccdc89,0.07758767,-4.2016306,0.9381560521760837,0.999750900483136,5
Aknad1,0.07757166,-6.1300845,0.9381687858234339,0.999750900483136,5
Gm11840,0.07755566,-4.817275,0.9381815194865958,0.999750900483136,5
Wnt10a,0.07650717,-3.1964395,0.9390156087004575,0.999750900483136,5
Gm13595,0.08266144,-7.540801,0.9341207423470738,0.9995274397043166,6
3300002P09Rik,0.07374943,-5.8724375,0.9412097666106283,0.9995274397043166,6
Gm28586,0.069276735,-4.385501,0.9447693456686671,0.9995274397043166,6
Gm57239,0.06483741,-5.2974143,0.9483034516788797,0.9995274397043166,6
Lnp1,0.06480403,-5.868452,0.9483300278449359,0.9995274397043166,6
Gm20416,0.06034803,-7.252673,0.951878450418688,0.9995274397043166,6
Gm10390,0.06031465,-2.239621,0.9519050340517811,0.9995274397043166,6
Gm41561,0.05918813,-7.619929,0.9528022628632153,0.9995274397043166,6
Gm17059,0.05918813,-3.7969794,0.9528022628632153,0.9995274397043166,6
Or5w14,0.05918813,-4.5990644,0.9528022628632153,0.9995274397043166,6
Hspb11,1.84315,3.7612963,0.06530711450231602,0.25477487710239743,7
Tnfaip1,1.6561093,1.9937509,0.097699686799775,0.35827337367061957,7
Slc38a10,1.6029757,6.719742,0.10894002522017236,0.3928133146497717,7
H2az1,1.5499489,4.1273794,0.12115378094702778,0.4282245301722846,7
B230354K17Rik,1.3984108,2.6177409,0.16198975100451152,0.5475547347749647,7
Nek6,1.3700854,3.2011697,0.1706602752708446,0.5718993043781546,7
Pias4,1.3587141,-4.8983245,0.17423718506665942,0.5815706503344177,7
Alg11,1.2971122,2.8875356,0.19459255892546212,0.6368860937112674,7
Nphp3,1.2506126,5.5136456,0.21107586581879623,0.6797512919340353,7
Tmem208,1.243667,1.5050884,0.21362215042930943,0.6864265503574473,7
Apc2,1.5490184,5.4335704,0.12137730379362492,0.40753226228701006,8
Eif3k,1.4402232,3.4987154,0.14980425835036376,0.4877282746915461,8
Il16,1.3727449,1.6235075,0.16983167286585876,0.5411181322874951,8
Lacc1,1.3469964,4.1264296,0.1779813781230798,0.5619387854956767,8
Tagln3,1.3121787,3.1351597,0.18945985108055885,0.5919261154005313,8
