UMAP1,UMAP2,cluster,cell_type
10.09608,-8.968799,1,Pericytes
2.8595252,-6.4377418,4,Pericytes
8.354631,2.8706806,0,Pericytes
16.167755,2.2594182,5,Neurons
3.133459,-5.90494,4,Pericytes
-4.753811,0.23145695,3,Microglia
9.709025,-8.598425,1,Astrocytes
14.90448,3.2017398,0,Neurons
8.226716,-2.0281458,0,Neurons
10.106328,2.1591532,0,Pericytes
7.07662,13.483406,2,Oligodendrocytes
11.73863,-0.5177806,0,Neurons
14.046643,4.1329474,0,Endothelial
14.687324,5.3489122,5,Neurons
3.416337,-5.4134665,4,Neurons
10.379251,-8.549876,1,Neurons
7.2822113,13.219805,2,Oligodendrocytes
1.9588428,-2.1741776,5,Neurons
9.490142,4.0855546,0,Oligodendrocytes
17.904613,-5.4858356,8,Neurons
13.565707,-0.20345512,0,Astrocytes
16.61319,-3.0398946,8,Neurons
10.194521,-7.2311006,1,Neurons
16.323725,4.653293,5,Neurons
2.9094286,8.852648,6,Astrocytes
11.167007,-3.6926897,0,Pericytes
4.8924212,-1.53679,6,Microglia
12.751057,4.83782,0,Oligodendrocytes
13.737677,-0.42245832,0,Pericytes
11.065511,-3.6032624,0,Pericytes
13.302294,3.958447,0,Astrocytes
7.0890203,0.46551555,0,Neurons
9.474515,-5.2627473,1,Neurons
4.4598236,-1.616989,6,Neurons
4.1219625,0.30357096,6,OPCs
9.226107,-4.671416,1,Neurons
5.03914,2.7780654,5,Microglia
7.5571737,-2.017891,0,Pericytes
3.4799612,5.272299,7,OPCs
8.085056,12.403395,2,Oligodendrocytes
7.100964,-3.0503163,0,Neurons
-2.3602202,-0.6448236,3,Microglia
12.566936,4.3726807,0,Neurons
13.466427,-0.4381649,0,Neurons
8.835115,-3.6613119,0,Neurons
10.150144,-4.541284,1,Neurons
5.21701,-0.8386229,6,Microglia
-3.7146046,-0.07556206,3,Microglia
8.351839,7.239591,2,Oligodendrocytes
6.6941123,4.048544,0,OPCs
6.8912873,9.53279,2,Oligodendrocytes
9.481686,3.8111284,0,Neurons
17.979713,-4.9097676,8,Astrocytes
9.488487,-4.8840246,1,Neurons
3.1473882,5.5502267,7,OPCs
10.831594,-3.5317228,0,Neurons
2.8991623,-0.1273206,6,Pericytes
10.499362,-8.853096,1,Pericytes
13.911721,2.6937335,0,Neurons
10.336808,1.3192021,0,Neurons
2.441779,-7.6855993,4,Neurons
3.4997895,-6.3779855,4,Neurons
11.910536,1.9973567,0,Neurons
12.487893,2.9281118,0,Neurons
