cluster,rank,gene,score,pval,pval_adj
cluster_0,0,Erbb4,42.05438,0.0,0.0
cluster_0,1,Rbms3,39.41715,0.0,0.0
cluster_0,2,Grip1,38.84042,0.0,0.0
cluster_0,3,Grik1,38.685833,0.0,0.0
cluster_0,4,Zfp536,38.329536,0.0,0.0
cluster_0,5,Dlx6os1,38.274254,0.0,0.0
cluster_0,6,Kcnmb2,38.222878,0.0,0.0
cluster_0,7,Sox2ot,37.903553,0.0,0.0
cluster_0,8,Kcnc2,37.514053,5.435529167941235e-308,2.0350621204771984e-304
cluster_0,9,Nxph1,36.731987,2.254675995291724e-295,7.597356233734993e-292
cluster_0,10,Frmd5,35.912342,1.960462395056695e-282,6.0054309876209455e-279
cluster_0,11,Alk,35.77602,2.607027834931573e-280,7.320534160487857e-277
cluster_0,12,Ptprm,34.231895,8.110866883179216e-257,2.102336696120053e-253
cluster_0,13,Elavl2,33.5003,4.770955478212773e-246,1.1483008270989829e-242
cluster_0,14,Spock3,33.469086,1.3583133008495599e-245,3.051314999028451e-242
cluster_0,15,Galntl6,33.46641,1.4855680118087957e-245,3.1286062328693238e-242
cluster_0,16,Nrxn3,33.36784,4.015453727877791e-244,7.959101694974709e-241
cluster_0,17,Ubash3b,33.2874,5.875858926311544e-243,1.099960791005521e-239
cluster_0,18,Dnm3,33.16951,2.963932663919014e-241,5.2564565812323734e-238
cluster_0,19,Rasgrf2,32.85122,1.0942432457670735e-236,1.8435810204683653e-233
cluster_1,0,Gpc5,12.649278,1.1290756670373548e-36,3.8045333676490704e-32
cluster_1,1,Ptprd,11.586577,4.820098113870037e-31,8.120901302248239e-27
cluster_1,2,Kcnh7,11.4641485,1.9971423986317034e-30,2.243190342143129e-26
cluster_1,3,Hs6st3,10.943326,7.152649624590074e-28,6.025392043754678e-24
cluster_1,4,Pdzrn3,10.84307,2.1512817135877836e-27,1.4497917724210792e-23
cluster_1,5,Fat3,10.59909,3.008961436085922e-26,1.6898327425058535e-22
cluster_1,6,Nrg1,10.494181,9.187152886513391e-26,4.422432909485075e-22
cluster_1,7,Gm2164,10.362047,3.6897814991469366e-25,1.5541359674406897e-21
cluster_1,8,Arpp21,10.299809,7.060114230610629e-25,2.1627055374059614e-21
cluster_1,9,Cpne8,10.289148,7.887095593084971e-25,2.1627478498841757e-21
cluster_1,10,Dpp10,10.283725,8.343934606034628e-25,2.1627478498841757e-21
cluster_1,11,Mlip,10.136012,3.823925932046598e-24,9.203643443303012e-21
cluster_1,12,Xylt1,10.08284,6.579639441878665e-24,1.4780502042236233e-20
cluster_1,13,Ptprt,9.997127,1.5688364857505453e-23,3.303969638990648e-20
cluster_1,14,Syt16,9.783241,1.3288583508772458e-22,2.487622832842204e-19
cluster_1,15,Ext1,9.773803,1.45871596749485e-22,2.586994381089814e-19
cluster_1,16,Man1a,9.749051,1.8620039938763967e-22,3.1371043288829534e-19
cluster_1,17,Sgcz,9.7345085,2.148536913056576e-22,3.4474809439216374e-19
cluster_1,18,Satb2,9.698963,3.0457867910869364e-22,4.665037805112064e-19
cluster_1,19,Dscam,9.680007,3.6669084970008275e-22,5.37218037891043e-19
cluster_2,0,Apoe,3.1269577,0.0017662530000958094,0.006061275190062979
cluster_2,1,Vtn,1.9445121,0.0518337249889373,0.1525671905334758
cluster_2,2,Slc6a20a,1.7752367,0.07585879868363793,0.21776606580711053
cluster_2,3,Flt1,1.4420632,0.14928454378765524,0.4062584386584422
cluster_2,4,Slco1a4,1.4405466,0.1497128196456605,0.40732524592492336
cluster_2,5,Ahnak,1.4327911,0.15191753134554908,0.41259072589825274
cluster_2,6,mt-Nd3,1.0840033,0.2783633389823399,0.7076905892823996
cluster_2,7,Cldn5,1.0585655,0.28979772462221487,0.7324500546707284
cluster_2,8,mt-Atp8,0.984975,0.32463636185063616,0.8076599858918366
cluster_2,9,Adgrl4,0.9838375,0.32519541101046534,0.8089911088526127
cluster_2,10,Slc22a8,0.92010504,0.35751786274373587,0.8763947259575822
cluster_2,11,Itih5,0.8747788,0.3816942557902687,0.9250931196942311
cluster_2,12,Slc6a13,0.8549939,0.3925545509698142,0.9467161572773303
cluster_2,13,Ttr,0.85354614,0.3933564948645524,0.9483618780191034
cluster_2,14,Rbpms,0.84303325,0.3992098508675851,0.9602237943346525
cluster_2,15,Abcc9,0.8417579,0.3999234778700931,0.9617343355916825
cluster_2,16,Ptgds,0.8218006,0.4111904024997567,0.9838437692701697
cluster_2,17,Atp13a5,0.79798275,0.4248804872204418,1.0
cluster_2,18,Mecom,0.72625357,0.46768332038693583,1.0
cluster_2,19,mt-Nd5,0.7040903,0.48137655210702013,1.0
cluster_3,0,Zbtb20,18.333376,4.481992175922855e-75,1.510252083598965e-70
cluster_3,1,Ccbe1,17.906792,1.043826141415081e-71,1.7586382830561284e-67
cluster_3,2,Nr3c2,16.474056,5.636072627069512e-61,6.330436774724476e-57
cluster_3,3,Grik4,16.25346,2.1110380825113335e-59,1.778338480707547e-55
cluster_3,4,Shisa6,15.658721,2.8966529026957326e-55,1.9521123241847083e-51
cluster_3,5,Cpne4,15.633925,4.276304365480168e-55,2.4015725316536624e-51
cluster_3,6,Prkca,15.496408,3.6683103747680614e-54,1.7658198055454942e-50
cluster_3,7,Nectin3,15.223799,2.458322885940916e-52,1.0354455995583137e-48
cluster_3,8,Rnf182,15.170752,5.524050529764673e-52,2.0682045183438934e-48
cluster_3,9,Galnt17,15.089097,1.9103892834606336e-51,6.437247729548951e-48
cluster_3,10,Mgat4c,15.06081,2.931730549491568e-51,8.980690235969807e-48
cluster_3,11,Nrp1,14.5893,3.2855057493686897e-48,9.22570014422728e-45
cluster_3,12,Kcnq5,14.250818,4.430622215590969e-46,1.1484172782811793e-42
cluster_3,13,Nkain3,14.180955,1.2019915266151094e-45,2.8930218914873375e-42
cluster_3,14,Epha4,14.083269,4.8130941033904394e-45,1.0812134593856283e-41
cluster_3,15,Hs3st4,14.05459,7.219892542270488e-45,1.520509369402165e-41
cluster_3,16,Dock4,13.937986,3.722977444165249e-44,7.379379291681895e-41
cluster_3,17,Wipf3,13.758325,4.539264672527219e-43,8.497503466970954e-40
cluster_3,18,Slit1,13.692701,1.1225709657987862e-42,1.990850066502942e-39
cluster_3,19,Clstn2,13.590954,4.5313855883220514e-42,7.634478439204993e-39
cluster_4,0,Dpp10,7.8206477,5.255217160390791e-15,3.090397861021433e-13
cluster_4,1,Efna5,7.0161467,2.280705223793792e-12,7.326086103046293e-11
cluster_4,2,Ncam2,5.3859878,7.204784476561995e-08,8.566422643692061e-07
cluster_4,3,Hs3st2,5.283839,1.2650421069588235e-07,1.4347646865057058e-06
cluster_4,4,Nrg1,5.084886,3.678468014513447e-07,3.826787842452767e-06
cluster_4,5,Gm36251,4.5140905,6.358905271605542e-06,5.28408562347769e-05
cluster_4,6,Satb2,4.4922433,7.04769051249895e-06,5.81585528470116e-05
cluster_4,7,Rmst,4.117638,3.82775183930858e-05,0.00027401726360174616
cluster_4,8,Ipcef1,3.8097749,0.00013909336480340378,0.0008954700077217222
cluster_4,9,Kcnt2,3.5839942,0.0003383797958499196,0.0020248704672276487
cluster_4,10,Cntnap5a,3.5581117,0.00037353063319499975,0.0022178833861037374
cluster_4,11,Cobl,3.5283031,0.0004182329126576018,0.002464633827371555
cluster_4,12,Rorb,3.447893,0.0005649777870983516,0.003248718688407177
cluster_4,13,Hs3st5,3.3781703,0.0007296987317685216,0.0041096320350446445
cluster_4,14,C1ql3,3.3010318,0.0009632994806917505,0.005305547450374179
cluster_4,15,Tmem132d,3.2207308,0.0012786420050940625,0.0068585038210203005
cluster_4,16,Fras1,3.2131696,0.001312787399553389,0.0070259981282323695
cluster_4,17,Il1rapl2,3.0360637,0.0023968866585758804,0.012176314314393618
cluster_4,18,Csgalnact1,3.027812,0.0024633135097848354,0.01248928859851186
cluster_4,19,Pdgfc,2.9133039,0.003576264563402132,0.01753832203877139
cluster_5,0,Zfhx3,15.2410555,1.8879523445052214e-52,6.361644220044794e-48
cluster_5,1,Mertk,13.821281,1.8966203814324643e-43,3.1954260186374156e-39
cluster_5,2,Inpp5d,13.700546,1.007638521009904e-42,1.1317795867983242e-38
cluster_5,3,Siglech,12.361407,4.2269192065145006e-35,3.560756739567815e-31
cluster_5,4,Tgfbr1,12.208408,2.803187322632926e-34,1.8891240004687815e-30
cluster_5,5,Cx3cr1,12.089622,1.1983782980535752e-33,6.730092521868879e-30
cluster_5,6,Dock8,11.976637,4.7104702828928474e-33,2.1434330403203067e-29
cluster_5,7,Epb41l2,11.970228,5.088872365432827e-33,2.1434330403203067e-29
cluster_5,8,Apbb1ip,11.893967,1.2721788203122958e-32,4.763037503249235e-29
cluster_5,9,Csf1r,11.688871,1.453046756444401e-31,4.896186350515054e-28
cluster_5,10,Gm2629,11.5709505,5.7838499190811515e-31,1.7717509715759863e-27
cluster_5,11,Lyn,11.394653,4.445967270289341e-30,1.248427609497247e-26
cluster_5,12,Fli1,10.84792,2.0401486484497476e-27,5.288065296781746e-24
cluster_5,13,Dock2,10.755853,5.56173688624974e-27,1.338630615136223e-23
cluster_5,14,Gm10790,10.160833,2.965299734579148e-24,6.6612493237585984e-21
cluster_5,15,P2ry12,10.120863,4.464632804876567e-24,9.40251668707005e-21
cluster_5,16,Elmo1,9.692181,3.255035677141655e-22,6.451863657468541e-19
cluster_5,17,Fyb,9.601715,7.862496613954695e-22,1.4718593661323187e-18
cluster_5,18,Ly86,9.564862,1.1235110125030045e-21,1.992517214594802e-18
cluster_5,19,Runx1,9.358771,8.066965079687643e-21,1.3591222766257742e-17
cluster_6,0,Cadps2,8.632246,6.01585961093009e-18,1.5127642197753756e-15
cluster_6,1,Ndst3,7.6203823,2.5292517327950083e-14,3.5611881532768266e-12
cluster_6,2,Fras1,7.161738,7.966048497203317e-13,8.060779884737627e-11
cluster_6,3,Trpc4,6.900646,5.176658302880686e-12,4.6146211157107827e-10
cluster_6,4,Dcn,6.840733,7.878897832792637e-12,6.738257395273621e-10
cluster_6,5,Ldb2,6.487361,8.735280888620325e-11,5.863426789301802e-09
cluster_6,6,Ctxnd1,6.1129165,9.782666536175689e-10,4.8980197860769094e-08
cluster_6,7,Etv1,5.6548686,1.5596532942915284e-08,5.446018383880554e-07
cluster_6,8,Pde11a,5.6489925,1.613910712733749e-08,5.59489047081033e-07
cluster_6,9,Nnat,5.3258753,1.0046803357474106e-07,2.743412365749169e-06
cluster_6,10,Ndst4,5.2909837,1.2166037351092042e-07,3.205213405648143e-06
cluster_6,11,Gm10754,5.168311,2.362189801094293e-07,5.697662672703887e-06
cluster_6,12,Cpne7,4.6783557,2.891843897674438e-06,4.8287201177422134e-05
cluster_6,13,Hcn1,4.5258875,6.014254700095283e-06,9.018973136377866e-05
cluster_6,14,Gm2164,4.3603806,1.2983630097345882e-05,0.00017450993209420297
cluster_6,15,Cacnb2,4.329116,1.4970917081884805e-05,0.00019782745960438838
cluster_6,16,Pex5l,4.112924,3.9067896535383974e-05,0.0004580486575004518
cluster_6,17,Gpr161,4.011646,6.029691473408798e-05,0.0006683436969999436
cluster_6,18,Ndrg1,3.9505851,7.79603829994024e-05,0.0008333197141992693
cluster_6,19,Galnt9,3.861519,0.00011268424857202124,0.00114195742552867
cluster_7,0,Vwc2l,8.365793,5.97116645270121e-17,9.49077475425566e-15
cluster_7,1,Tshz2,8.12284,4.554008311022113e-16,6.041411970401619e-14
cluster_7,2,Cdc14a,7.369252,1.7158798380393042e-13,1.2763418768779778e-11
cluster_7,3,Wfs1,6.385625,1.7069920115923026e-10,5.706230438751411e-09
cluster_7,4,Camk2d,5.2503347,1.5182296944274546e-07,2.4029247432328565e-06
cluster_7,5,Cntnap5b,5.066807,4.045440717420901e-07,5.820459881051011e-06
cluster_7,6,Sgcd,4.8865867,1.0259929513166687e-06,1.3525766231442282e-05
cluster_7,7,Pparg,4.823328,1.411824288682767e-06,1.7945239996776506e-05
cluster_7,8,Unc13c,4.6609564,3.1474343606281205e-06,3.7108449340701594e-05
cluster_7,9,Pbx3,4.642635,3.439935827419468e-06,4.013576095593019e-05
cluster_7,10,Meis2,4.513021,6.391063962521387e-06,7.028501673665818e-05
cluster_7,11,Cobl,4.4257193,9.612138157495996e-06,0.00010153310575391382
cluster_7,12,Ptprk,4.3618836,1.2894742501905072e-05,0.0001322280107559931
cluster_7,13,Cdh20,4.330543,1.4874192393385118e-05,0.00015069175793370565
cluster_7,14,Hmcn1,4.2988353,1.7169795823244897e-05,0.00017106843289771143
cluster_7,15,Il1rapl2,4.265605,1.9936117771447407e-05,0.00019533801233692695
cluster_7,16,Prlr,4.2510633,2.1275781480401535e-05,0.00020713918889442648
cluster_7,17,Asic2,4.2385693,2.2494870293568347e-05,0.0002174375070028913
cluster_7,18,Tmem164,4.068008,4.741672583176523e-05,0.00042720695016769015
cluster_7,19,Tmem255a,4.045277,5.226126103448449e-05,0.0004665934110755151
cluster_8,0,Slc1a3,13.257309,4.093241537838639e-40,1.3792586685901077e-35
cluster_8,1,Atp1a2,12.191973,3.430173524047064e-34,5.7791563533144935e-30
cluster_8,2,Gli3,11.19254,4.43543101308468e-29,4.981876113896713e-25
cluster_8,3,Lama2,10.423717,1.9325008649448474e-25,1.0852924857530263e-21
cluster_8,4,Plpp3,10.397463,2.546233754957457e-25,1.225684180100664e-21
cluster_8,5,Prdm16,8.38756,4.963356317518365e-17,1.4054223065134356e-14
cluster_8,6,Slco1c1,8.202762,2.349264705946838e-16,5.1808350697095773e-14
