gene,score,pval,pval_adj
Zbtb20,18.333376,4.481992175922855e-75,1.510252083598965e-70
Ccbe1,17.906792,1.043826141415081e-71,1.7586382830561284e-67
Nr3c2,16.474056,5.636072627069512e-61,6.330436774724476e-57
Grik4,16.25346,2.1110380825113335e-59,1.778338480707547e-55
Shisa6,15.658721,2.8966529026957326e-55,1.9521123241847083e-51
Cpne4,15.633925,4.276304365480168e-55,2.4015725316536624e-51
Prkca,15.496408,3.6683103747680614e-54,1.7658198055454942e-50
Nectin3,15.223799,2.458322885940916e-52,1.0354455995583137e-48
Rnf182,15.170752,5.524050529764673e-52,2.0682045183438934e-48
Galnt17,15.089097,1.9103892834606336e-51,6.437247729548951e-48
Mgat4c,15.06081,2.931730549491568e-51,8.980690235969807e-48
Nrp1,14.5893,3.2855057493686897e-48,9.22570014422728e-45
Kcnq5,14.250818,4.430622215590969e-46,1.1484172782811793e-42
Nkain3,14.180955,1.2019915266151094e-45,2.8930218914873375e-42
Epha4,14.083269,4.8130941033904394e-45,1.0812134593856283e-41
Hs3st4,14.05459,7.219892542270488e-45,1.520509369402165e-41
Dock4,13.937986,3.722977444165249e-44,7.379379291681895e-41
Wipf3,13.758325,4.539264672527219e-43,8.497503466970954e-40
Slit1,13.692701,1.1225709657987862e-42,1.990850066502942e-39
Clstn2,13.590954,4.5313855883220514e-42,7.634478439204993e-39
