gene,score,pval,pval_adj
Dach1,8.303802,1.0083216554403375e-16,1.1879862413187978e-14
Ndnf,8.159933,3.3521025883374886e-16,3.255113798749856e-14
Reln,7.6020823,2.914035814480949e-14,1.4743446066779286e-12
Ebf3,6.217385,5.05508680695479e-10,1.0686085636583978e-08
Trp73,5.116135,3.1185956361063017e-07,4.009316999398624e-06
Gm29683,4.61255,3.977596160297867e-06,4.2333885097093154e-05
Tmem163,4.5616407,5.075539594554878e-06,5.3096982979857547e-05
Utrn,4.206399,2.5947188428831007e-05,0.00023855837961743237
Cacna2d2,3.9310634,8.457098833422938e-05,0.000713853713153856
Vmn2r1,3.297036,0.0009771101164545884,0.006730315307451718
Pdzd2,3.0302782,0.002443285876117944,0.015431857709778864
Cdh4,2.9068294,0.0036511236881577834,0.02220726783324272
Eya2,2.8317716,0.004629089438511733,0.027490623496667498
Maml3,2.8181586,0.004829992930376725,0.028547876123833384
Lhx1,2.5149443,0.011905115375317991,0.06423615175127542
Cd274,2.4134068,0.0158041700556118,0.08280785479612737
Hs3st5,2.30096,0.021393883619335148,0.10785282801273446
Pik3c2g,1.891453,0.05856389673059315,0.26030458570558856
Ecel1,1.767165,0.0772006002649157,0.3311714101243284
Eln,1.7310814,0.08343725184303266,0.35347015817234456
