gene,score,pval,pval_adj
Bnc2,7.1034813,1.2165263724548642e-12,4.09920726462391e-08
Slc47a1,6.6977916,2.115927819242779e-11,3.5649151898602336e-07
Slc26a7,6.1922903,5.929628832337685e-10,6.660159104481687e-06
Cped1,6.132513,8.650171038470291e-10,7.286904082807373e-06
Eya2,6.0291367,1.6483786754427687e-09,1.0926651696507997e-05
Foxp2,5.82732,5.632456223731726e-09,1.0926651696507997e-05
Adamtsl3,5.674038,1.3947018583517998e-08,1.0926651696507997e-05
Slc26a2,5.515135,3.485128120896074e-08,1.3211067932217437e-05
Slc38a2,5.3618526,8.237266072533787e-08,1.8382743770207188e-05
Tbx15,5.3437552,9.104055599083601e-08,1.893643564609389e-05
Gulp1,5.0816126,3.742437588141131e-07,4.503756320357269e-05
Plpp3,4.9453316,7.601434080137106e-07,7.276645533076702e-05
Egfr,4.7097874,2.4797528019502386e-06,0.00016578918733038738
Fbxl7,4.571724,4.837278793743487e-06,0.0002757985553874459
Slc47a2,4.5695305,4.888184662391746e-06,0.0002772933844847681
Mgp,4.5582876,5.1572333783437515e-06,0.0002886679998615798
Phldb2,4.5375853,5.690205957231856e-06,0.00031247855904659904
Gm26740,4.486034,7.256112009382643e-06,0.0003632294384598083
Nxn,4.399522,1.0848973736115276e-05,0.0004861263550693355
Ddr2,4.3611326,1.2939089597180069e-05,0.0005525926021122681
