gene,score,pval,pval_adj
Top2a,7.326076,2.3698929880428006e-13,7.98559141250902e-09
Mis18bp1,6.1731935,6.692426494944207e-10,5.085184074992537e-06
Kif11,6.06162,1.3475711078080304e-09,5.085184074992537e-06
Gm12610,6.0114427,1.8387980371931432e-09,5.085184074992537e-06
Cenpp,5.872609,4.289889068782166e-09,6.30458498649784e-06
Diaph3,5.7694793,7.951679408262865e-09,6.814522535620318e-06
Kif23,5.7240057,1.0404119754996408e-08,7.303692068007478e-06
Ndc80,5.6962633,1.2246172533964606e-08,7.306104788173242e-06
Smc4,5.4447713,5.187199041104861e-08,1.285204844772569e-05
Cenpf,5.391337,6.993546294181443e-08,1.5503587890048546e-05
Mki67,5.357081,8.457730295394194e-08,1.748415214930078e-05
Kif15,5.225847,1.7336003011076532e-07,2.9062385943345015e-05
Lockd,5.1051064,3.3060854816201e-07,4.4207085868520186e-05
Hjurp,5.099558,3.404478359627897e-07,4.463708280389946e-05
Neil3,5.0837564,3.7004196590866744e-07,4.741039575383444e-05
Ezh2,4.8900414,1.0081472507559303e-06,8.939613095124165e-05
Kif4,4.7379403,2.1590159929852696e-06,0.000157997472019773
Knl1,4.6753383,2.9346914519550577e-06,0.00019698677921330205
Rad51b,4.5606294,5.100056845911987e-06,0.00029426629362988067
Anln,4.523599,6.079686887367082e-06,0.0003403008793301016
