resolution,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,avg_marker_genes,marker_gene_score,marker_gene_significance,cluster_separation_score,overall_score,silhouette_score_filled,silhouette_score_normalized,davies_bouldin_score_filled,davies_bouldin_score_normalized,calinski_harabasz_score_filled,calinski_harabasz_score_normalized,avg_marker_genes_filled,avg_marker_genes_normalized,marker_gene_score_filled,marker_gene_score_normalized,marker_gene_significance_filled,marker_gene_significance_normalized,cluster_separation_score_filled,cluster_separation_score_normalized
0.05,7,0.053825237,-1.7923868871544708,874.8353294341217,10.0,1.0,8.736637134341924,-4.2388077,0.45,0.053825237,0.0,-1.7923868871544708,1.0,874.8353294341217,1.0,10.0,1.0,1.0,1.0,8.736637134341924,0.0,-4.2388077,0.0
0.13,12,0.07977214,-1.9821484048491689,658.5470022388527,10.0,1.0,14.745523646384646,-3.3888535,0.5524117881658356,0.07977214,0.41808954,-1.9821484048491689,0.0,658.5470022388527,0.5406579375411705,10.0,1.0,1.0,1.0,14.745523646384646,0.6887906464875326,-3.3888535,0.23937213
0.22,14,0.11588587,-1.937675213127039,656.1869112575129,10.0,1.0,14.765883812290948,-3.5487556,0.654093634050023,0.11588587,1.0,-1.937675213127039,0.23436359627815367,656.1869112575129,0.5356456972921609,10.0,1.0,1.0,1.0,14.765883812290948,0.6911245051498804,-3.5487556,0.19433899
0.3,18,0.11173159,-1.8278344574275027,551.0784890573002,10.0,1.0,16.05495881026987,-2.6829362,0.7579350037952377,0.11173159,0.93306094,-1.8278344574275027,0.8131993741214565,551.0784890573002,0.31242181803190666,10.0,1.0,1.0,1.0,16.05495881026987,0.8388894528568015,-2.6829362,0.43817925
0.38,19,0.07742583,-1.9087917016761324,501.66480960220207,10.0,1.0,17.460458432852377,-1.978266,0.6937747265195977,0.07742583,0.38028285,-1.9087917016761324,0.38657312643893355,501.66480960220207,0.20747957852726484,10.0,1.0,1.0,1.0,17.460458432852377,1.0,-1.978266,0.6366351
0.47,23,0.09327984,-1.8212343247621867,453.5410740790567,10.0,1.0,15.684967848497347,-1.3548393,0.7624248560892509,0.09327984,0.63574284,-1.8212343247621867,0.8479805707808064,453.5410740790567,0.10527685582338177,10.0,1.0,1.0,1.0,15.684967848497347,0.7964778823864508,-1.3548393,0.8122105
0.55,25,0.09197245,-1.9587724750767257,431.8729938188701,10.0,1.0,15.448193529219632,-0.9728384,0.6982719702713367,0.09197245,0.6146765,-1.9587724750767257,0.12318582848842964,431.8729938188701,0.059259297662456294,10.0,1.0,1.0,1.0,15.448193529219632,0.769336757966795,-0.9728384,0.9197932
0.63,25,0.098316446,-1.9735440132315076,438.56492130070643,10.0,1.0,16.63397835556757,-1.0288031,0.7312750377388112,0.098316446,0.7168991,-1.9735440132315076,0.04534318507878192,438.56492130070643,0.07347127022330772,10.0,1.0,1.0,1.0,16.63397835556757,0.9052616910635339,-1.0288031,0.9040319
0.72,26,0.106312275,-1.9235338084668439,444.59569331707866,7.0,0.5,11.108730805975274,-1.3689965,0.3824038464750352,0.106312275,0.84573805,-1.9235338084668439,0.3088855796180361,444.59569331707866,0.0862791146971264,7.0,0.25,0.5,0.0,11.108730805975274,0.27190993378536676,-1.3689965,0.80822337
0.8,30,0.105148844,-1.9178227018291134,403.96983534570506,6.0,0.5,12.8148576551342,-0.68804294,0.4514430897885822,0.105148844,0.8269914,-1.9178227018291134,0.338981811494295,403.96983534570506,0.0,6.0,0.0,0.5,0.0,12.8148576551342,0.4674809789476786,-0.68804294,1.0
