Sample_ID,Sample_Name,Lane,Read1,Read2,Index1,Index2
R26_Emx1_Ctrl_adult,R26_Emx1_Ctrl_adult,1,R26_Emx1_Ctrl_adult_S1_L001_R1_001.fastq.gz,R26_Emx1_Ctrl_adult_S1_L001_R2_001.fastq.gz,R26_Emx1_Ctrl_adult_S1_L001_I1_001.fastq.gz,R26_Emx1_Ctrl_adult_S1_L001_I2_001.fastq.gz
R26_Emx1_Ctrl_adult,R26_Emx1_Ctrl_adult,2,R26_Emx1_Ctrl_adult_S1_L002_R1_001.fastq.gz,R26_Emx1_Ctrl_adult_S1_L002_R2_001.fastq.gz,R26_Emx1_Ctrl_adult_S1_L002_I1_001.fastq.gz,R26_Emx1_Ctrl_adult_S1_L002_I2_001.fastq.gz
R26_Emx1_Mut_adult,R26_Emx1_Mut_adult,1,R26_Emx1_Mut_adult_S2_L001_R1_001.fastq.gz,R26_Emx1_Mut_adult_S2_L001_R2_001.fastq.gz,R26_Emx1_Mut_adult_S2_L001_I1_001.fastq.gz,R26_Emx1_Mut_adult_S2_L001_I2_001.fastq.gz
R26_Emx1_Mut_adult,R26_Emx1_Mut_adult,2,R26_Emx1_Mut_adult_S2_L002_R1_001.fastq.gz,R26_Emx1_Mut_adult_S2_L002_R2_001.fastq.gz,R26_Emx1_Mut_adult_S2_L002_I1_001.fastq.gz,R26_Emx1_Mut_adult_S2_L002_I2_001.fastq.gz
R26_Nestin_Ctrl_adult,R26_Nestin_Ctrl_adult,1,R26_Nestin_Ctrl_adult_S3_L001_R1_001.fastq.gz,R26_Nestin_Ctrl_adult_S3_L001_R2_001.fastq.gz,R26_Nestin_Ctrl_adult_S3_L001_I1_001.fastq.gz,R26_Nestin_Ctrl_adult_S3_L001_I2_001.fastq.gz
R26_Nestin_Ctrl_adult,R26_Nestin_Ctrl_adult,2,R26_Nestin_Ctrl_adult_S3_L002_R1_001.fastq.gz,R26_Nestin_Ctrl_adult_S3_L002_R2_001.fastq.gz,R26_Nestin_Ctrl_adult_S3_L002_I1_001.fastq.gz,R26_Nestin_Ctrl_adult_S3_L002_I2_001.fastq.gz
R26_Nestin_Mut_adult,R26_Nestin_Mut_adult,1,R26_Nestin_Mut_adult_S4_L001_R1_001.fastq.gz,R26_Nestin_Mut_adult_S4_L001_R2_001.fastq.gz,R26_Nestin_Mut_adult_S4_L001_I1_001.fastq.gz,R26_Nestin_Mut_adult_S4_L001_I2_001.fastq.gz
R26_Nestin_Mut_adult,R26_Nestin_Mut_adult,2,R26_Nestin_Mut_adult_S4_L002_R1_001.fastq.gz,R26_Nestin_Mut_adult_S4_L002_R2_001.fastq.gz,R26_Nestin_Mut_adult_S4_L002_I1_001.fastq.gz,R26_Nestin_Mut_adult_S4_L002_I2_001.fastq.gz 
