names,scores,logfoldchanges,pvals,pvals_adj,cluster
Hsp90aa1,-50.14054,,0.0,0.0,0
Hsp90ab1,-48.27802,,0.0,0.0,0
Kcnc2,44.929447,,0.0,0.0,0
Etl4,44.87541,,0.0,0.0,0
Gm49678,44.710392,,0.0,0.0,0
Sorcs3,43.465935,,0.0,0.0,0
Gm10754,42.973843,,0.0,0.0,0
Gabrg3,42.325214,,0.0,0.0,0
Sv2b,37.88108,,0.0,0.0,0
Cdh4,37.754124,,0.0,0.0,0
Hsp90aa1,52.135654,,0.0,0.0,1
Sh3d19,-38.14785,,0.0,0.0,1
Cdc37l1,-38.224598,,0.0,0.0,1
Tmcc3,-38.66832,,0.0,0.0,1
Gm3764,-38.670372,,0.0,0.0,1
Kif13a,-38.950405,,0.0,0.0,1
Erbin,-39.132084,,0.0,0.0,1
Mbnl1,-39.509872,,0.0,0.0,1
Phlpp1,-39.54018,,0.0,0.0,1
Etv6,-37.959965,,0.0,0.0,1
Rfx3,43.22889,,0.0,0.0,2
Ahcyl2,41.968483,,0.0,0.0,2
Glis3,41.112244,,0.0,0.0,2
Trpm3,40.32124,,0.0,0.0,2
Tmem108,37.84044,,0.0,0.0,2
Sema5a,40.219566,,0.0,0.0,2
Zfpm2,39.08378,,0.0,0.0,2
Stxbp6,39.188614,,0.0,0.0,2
Il1rap,37.287735,,2.593785206419367e-304,1.8015279250363847e-301,2
Tafa2,37.16197,,2.809389068949375e-302,1.7561491070002545e-299,2
Pde4b,48.22089,,0.0,0.0,3
Tspan2,39.032127,,0.0,0.0,3
Tmeff2,47.806686,,0.0,0.0,3
Dock10,47.090347,,0.0,0.0,3
Slc24a2,46.786198,,0.0,0.0,3
Mbp,46.630013,,0.0,0.0,3
Edil3,46.543243,,0.0,0.0,3
Prr5l,45.890198,,0.0,0.0,3
Plp1,45.73099,,0.0,0.0,3
St6galnac3,42.05256,,0.0,0.0,3
Atp1a2,37.763294,,0.0,0.0,4
Prex2,37.332684,,4.84229241273142e-305,1.5134584935992055e-301,4
Slc1a2,37.0173,,6.033936534297841e-300,1.2572712425298603e-296,4
Msi2,36.51576,,6.235071208593146e-292,9.743857531228938e-289,4
Rora,35.09598,,7.763023775609459e-270,9.705332324266946e-267,4
Nfia,35.01635,,1.2687618323020447e-268,1.321838368953347e-265,4
Slc1a3,34.48971,,1.1442255209533375e-260,1.0217933902113303e-257,4
Pitpnc1,33.857666,,2.7988288601388128e-251,2.186934900590965e-248,4
Plpp3,33.486668,,7.535646998630064e-246,5.233925487604059e-243,4
Npas3,33.322193,,1.842291374860064e-243,1.151616338425026e-240,4
Elmo1,36.50435,,9.460291541925827e-292,5.913628242857835e-288,5
Apbb1ip,36.198895,,6.336739224524982e-287,1.9805478446252832e-283,5
Inpp5d,36.152634,,3.382243663618926e-286,7.047468380427303e-283,5
