resolution,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,avg_marker_genes,marker_gene_score,marker_gene_significance,cluster_separation_score,overall_score,silhouette_score_filled,silhouette_score_normalized,davies_bouldin_score_filled,davies_bouldin_score_normalized,calinski_harabasz_score_filled,calinski_harabasz_score_normalized,avg_marker_genes_filled,avg_marker_genes_normalized,marker_gene_score_filled,marker_gene_score_normalized,marker_gene_significance_filled,marker_gene_significance_normalized,cluster_separation_score_filled,cluster_separation_score_normalized
0.05,6,0.035764605,-2.0555793805493385,428.0540224780734,10.0,1.0,21.337720546538584,-4.216208,0.37280380399158863,0.035764605,0.0,-2.0555793805493385,0.0,428.0540224780734,1.0,10.0,1.0,1.0,1.0,21.337720546538584,0.11401901995794315,-4.216208,0.0
0.13,12,0.10017343,-1.7361702961804586,336.89347308851075,10.0,1.0,38.94034315176357,-2.0617874,0.7290829567284057,0.10017343,0.6166866,-1.7361702961804586,0.5560156163028946,336.89347308851075,0.26229899562491255,10.0,1.0,1.0,1.0,38.94034315176357,0.9771278193367173,-2.0617874,0.5466147
0.22,14,0.11460591,-1.6119134546873686,357.4064813165179,10.0,1.0,37.285521203101005,-1.9121931,0.7794034222738881,0.11460591,0.7548713,-1.6119134546873686,0.77231736751684,357.4064813165179,0.4282969725336375,10.0,1.0,1.0,1.0,37.285521203101005,0.8959869906472565,-1.9121931,0.58456945
0.3,19,0.12037113,-1.5558420019283197,318.1688281814687,10.0,1.0,39.40680852051438,-0.99656886,0.832956277634536,0.12037113,0.8100708,-1.5558420019283197,0.8699244954556806,318.1688281814687,0.1107730400773772,10.0,1.0,1.0,1.0,39.40680852051438,1.0,-0.99656886,0.8168795
0.38,21,0.1294184,-1.4999013041698046,339.0507172430917,10.0,1.0,37.466232169562794,-0.76049453,0.8655349205275662,0.1294184,0.89669454,-1.4999013041698046,0.9673040098864392,339.0507172430917,0.2797561214339729,10.0,1.0,1.0,1.0,37.466232169562794,0.9048477853592397,-0.76049453,0.8767758
0.47,22,0.14020798,-1.4811187449061862,332.4323089331548,10.0,1.0,36.57680042861445,-0.7887561,0.8687881107799215,0.14020798,1.0,-1.4811187449061862,1.0,332.4323089331548,0.22619779504938126,10.0,1.0,1.0,1.0,36.57680042861445,0.8612363088607643,-0.7887561,0.8696053
0.55,23,0.13429639,-1.5493190960040788,314.34319778602725,10.0,1.0,20.59001982964797,-0.650359,0.684034511500088,0.13429639,0.9433991,-1.5493190960040788,0.8812793307908084,314.34319778602725,0.07981478671028909,10.0,1.0,1.0,1.0,20.59001982964797,0.07735703597275297,-0.650359,0.9047191
0.63,23,0.13553776,-1.5554845390843854,325.5309721439875,10.0,1.0,19.31101510896,-0.63332236,0.6821194431452159,0.13553776,0.9552847,-1.5554845390843854,0.8705467536606036,325.5309721439875,0.1703499188025721,10.0,1.0,1.0,1.0,19.31101510896,0.014643640723052881,-0.63332236,0.90904164
0.72,25,0.12254442,-1.58277635531125,307.723261579096,7.333333333333333,0.6666666666666666,19.01236622321126,-0.27482006,0.4095601029712317,0.12254442,0.83087915,-1.58277635531125,0.8230381611940211,307.723261579096,0.026244096083107328,7.333333333333333,0.11111111111111101,0.6666666666666666,0.0,19.01236622321126,0.0,-0.27482006,1.0
0.8,26,0.123911574,-1.6309846245009483,304.4801777240114,7.0,0.6666666666666666,19.88110130112462,-0.4700398,0.3991204520695031,0.123911574,0.84396905,-1.6309846245009483,0.7391189747458051,304.4801777240114,0.0,7.0,0.0,0.6666666666666666,0.0,19.88110130112462,0.04259665771925709,-0.4700398,0.9504693
