UMAP1,UMAP2,cluster,cell_type
6.9656706,13.316643,8,OPCs
0.30631843,-4.055664,2,Oligodendrocytes
11.803875,-6.8636913,0,Endothelial
4.210242,-7.981131,3,Astrocytes
0.3330681,-3.1839259,2,Microglia
-0.106281705,-4.8014874,2,Astrocytes
10.053734,-1.1856065,0,Neurons
-0.6377265,-3.7920349,2,Oligodendrocytes
9.264675,1.5945448,1,Neurons
11.82383,5.3240323,1,Neurons
5.9620996,-0.86101764,1,Oligodendrocytes
5.9213476,-4.125986,3,Microglia
5.6664777,5.6713767,6,Oligodendrocytes
14.9483185,2.9804125,0,Neurons
6.7286296,-1.2959609,1,OPCs
5.7063246,2.248755,1,Astrocytes
15.742668,-2.2907841,0,Neurons
-0.8114213,-3.523976,2,Endothelial
11.704972,3.5224557,1,Microglia
13.985442,-3.800745,0,Neurons
13.198289,6.626449,1,Astrocytes
8.677015,3.5735662,1,Oligodendrocytes
-0.8981448,-2.5726001,2,Neurons
-0.6462101,-4.571422,2,Microglia
13.181639,6.0310383,1,Neurons
-1.1857147,-5.3345265,2,Oligodendrocytes
-0.14383623,-5.323353,2,OPCs
11.48533,3.1346858,1,Neurons
-0.117408544,-5.5405903,2,Endothelial
13.920117,-2.0777564,0,Neurons
4.530317,-0.6398796,1,Endothelial
4.181823,-8.80551,3,Microglia
10.807606,2.8249683,1,Neurons
-0.117715135,-4.4682713,2,Microglia
3.2782614,-1.9894258,1,Endothelial
7.62645,2.0905354,1,OPCs
12.22901,1.0013645,0,Neurons
11.15882,-5.983155,0,Neurons
12.322697,-1.4997919,0,Neurons
11.284716,-5.934224,0,Microglia
0.7724823,-5.5256124,2,Oligodendrocytes
11.125646,-3.4319346,0,Neurons
5.380408,-7.799855,3,Pericytes
11.689631,-4.460302,0,OPCs
14.534656,-0.71697015,0,Neurons
11.004547,2.6384163,1,Neurons
0.0011275578,-6.0099225,2,Oligodendrocytes
14.863344,-1.1217059,0,Astrocytes
14.763471,-3.8485405,0,Neurons
11.127116,5.6434374,1,Neurons
11.052783,-5.408515,0,Microglia
7.0913453,-2.482508,0,Astrocytes
10.82314,6.057595,1,Neurons
3.7034516,-9.016286,3,Neurons
0.09858875,-2.839136,2,Oligodendrocytes
-2.4169724,-2.3970149,2,Neurons
7.743897,0.49343318,1,Microglia
8.968117,0.9123225,1,Microglia
3.85832,-9.288149,3,Neurons
10.224222,6.6729054,1,Neurons
7.812708,3.5609245,1,Pericytes
12.833104,1.0297576,0,Pericytes
5.2355943,1.8041364,1,OPCs
-1.1739007,-3.8244426,2,Microglia
12.140871,-2.9012246,0,Microglia
8.212411,3.1819131,1,OPCs
8.280248,4.8202014,1,Oligodendrocytes
9.453533,-4.1232615,0,Neurons
10.456936,-5.136084,0,Microglia
8.559272,2.8205216,1,Astrocytes
10.616537,0.88252664,1,OPCs
0.29838285,-4.4403076,2,Oligodendrocytes
4.8799405,7.2761993,6,Oligodendrocytes
10.479846,3.1869202,1,OPCs
9.600686,3.1874676,1,Neurons
13.471076,3.172967,0,Pericytes
-2.2555058,-1.8725528,2,Neurons
14.664507,-0.42376295,0,Astrocytes
7.0070815,3.9139793,1,Endothelial
11.636079,-5.7937293,0,Endothelial
-1.9266181,-3.5631828,2,Oligodendrocytes
11.407371,-2.680651,0,Neurons
5.753109,-4.3141603,3,Neurons
8.891801,4.4908648,1,Oligodendrocytes
8.072702,2.0669875,1,OPCs
5.4824758,2.3445506,1,Astrocytes
12.825167,5.241188,1,Endothelial
5.431712,2.3213236,1,Astrocytes
14.7026205,0.36331752,0,Neurons
-0.4460838,-5.1524525,2,OPCs
11.049903,-4.886289,0,Astrocytes
8.534327,5.0286994,1,Oligodendrocytes
8.92628,-1.5233194,0,Neurons
4.0172863,1.7837682,4,Astrocytes
10.93508,2.972716,1,Neurons
9.634166,2.6636255,1,Neurons
12.2054405,1.2461635,0,Neurons
5.4421177,-4.4421306,3,Neurons
-1.5028464,-2.7712173,2,OPCs
11.57056,-3.0266087,0,Neurons
10.897389,-6.033543,0,Microglia
9.910821,-0.06523729,1,Oligodendrocytes
-0.41077295,-4.8580236,2,Microglia
15.366953,-2.934479,0,Astrocytes
4.2377024,-8.106724,3,Endothelial
5.5075254,-0.10367416,1,Endothelial
13.732107,-2.4395015,0,Neurons
0.17424452,-6.3995132,2,Pericytes
3.0257223,-2.2385902,1,Endothelial
4.64005,-0.5624265,1,Endothelial
9.347534,-2.0784755,0,Neurons
0.03652586,-2.4625242,2,Neurons
13.912293,2.5152848,0,Pericytes
6.971353,-0.72825867,1,Oligodendrocytes
14.525757,0.0625288,0,Neurons
11.036084,-3.67563,0,Neurons
0.073972575,-5.592171,2,Microglia
4.7229214,1.5431474,4,Astrocytes
14.268217,-3.9138427,0,Neurons
10.703441,6.9065723,1,Neurons
4.9943457,6.946645,6,Oligodendrocytes
6.3229885,-5.845539,3,Oligodendrocytes
0.64107245,-5.098321,2,Endothelial
14.927824,3.0984523,0,Endothelial
9.05648,-1.3014536,0,Neurons
5.484528,-4.672087,3,Microglia
3.3010206,4.777397,7,Microglia
12.764085,0.6960959,0,Neurons
11.015185,3.4410174,1,Neurons
4.963388,-7.291408,3,Oligodendrocytes
