UMAP1,UMAP2,cluster,cell_type
6.7058177,2.7482743,4,Neurons
5.374346,6.221736,0,Microglia
17.017206,8.0829315,1,Neurons
2.6311133,6.953574,0,Pericytes
17.876366,9.760318,1,Pericytes
1.9529917,11.547106,7,Neurons
15.262146,9.3363085,1,Astrocytes
9.701435,8.750687,0,Neurons
3.2970529,18.93853,2,Neurons
12.100438,6.2787294,5,Microglia
8.4108305,9.122189,0,OPCs
6.4178877,10.057757,0,Neurons
4.0297155,18.498396,2,Neurons
2.4820738,6.888982,0,Neurons
12.538278,4.6495433,4,Endothelial
16.924128,7.950423,1,Neurons
2.6216028,18.465868,2,Neurons
6.059636,9.27521,0,Oligodendrocytes
12.5287285,2.9403884,4,Astrocytes
7.883498,-0.24514104,3,Oligodendrocytes
8.273751,5.9031506,0,OPCs
7.154303,9.793569,0,Neurons
6.078969,20.44768,2,Endothelial
17.519255,8.753801,1,Pericytes
5.951913,19.277817,2,Neurons
8.512509,14.642716,0,Neurons
6.053981,12.482958,0,Neurons
0.9810411,11.396542,7,Neurons
8.086467,8.238825,0,OPCs
6.273502,6.115054,0,Oligodendrocytes
5.2314677,6.660663,0,Microglia
17.686392,7.7810006,1,Pericytes
9.358072,5.417968,0,OPCs
16.227102,7.2581544,1,Pericytes
16.698477,8.256365,1,Pericytes
3.9249237,7.5970287,0,Neurons
1.5848761,11.559207,7,Neurons
9.618246,5.444754,0,OPCs
15.78248,8.071295,1,Microglia
16.027063,7.369935,1,Pericytes
4.4753346,20.443317,2,Neurons
15.962534,8.406188,1,Astrocytes
16.36656,7.5121164,1,Pericytes
5.688486,8.137848,0,Neurons
9.310794,2.9316697,3,Endothelial
8.747772,14.905548,0,Neurons
18.258198,10.220329,1,Astrocytes
1.4150211,8.85607,0,Neurons
15.772316,9.076197,1,Astrocytes
3.5063982,2.5637803,5,Microglia
18.978123,9.643234,1,Neurons
4.357789,20.483862,2,Neurons
13.065604,2.0209177,4,Oligodendrocytes
