names,scores,logfoldchanges,pvals,pvals_adj,cluster
Crabp1,0.074894965,-2.4325488,0.9402982846975885,0.9918203620277322,0
Gal,0.06338544,-2.6134882,0.949459580972855,0.9918203620277322,0
Pnmt,0.06065343,-1.6205127,0.9516352220169538,0.9918203620277322,0
Gm35147,0.05936126,-2.2279572,0.952664368011909,0.9918203620277322,0
Areg,0.050325315,-2.0224242,0.9598631494876726,0.9918203620277322,0
Ngp,0.042572312,-1.2143216,0.9660424684256164,0.9918203620277322,0
Slc34a3,0.04256308,-1.1741431,0.9660498260469288,0.9918203620277322,0
Gm48483,0.041261684,-1.2830667,0.967087279295694,0.9918203620277322,0
Gm21858,0.041261684,-1.3079084,0.967087279295694,0.9918203620277322,0
BC039966,0.034846995,-0.99014837,0.9722017477849018,0.9918203620277322,0
Acaa1a,18.336693,0.80440223,4.216855373289628e-75,1.834781397148466e-74,1
Pianp,17.40363,0.1344763,7.743649773969041e-68,3.062791826225895e-67,1
Ufm1,16.38012,2.977444,2.652231042975632e-60,9.609108368635689e-60,1
Ldlr,16.184034,1.068748,6.536796307193566e-59,2.333941106366366e-58,1
Alg5,16.070026,1.8201199,4.139105435005953e-58,1.4675881426614884e-57,1
Aldh9a1,15.667557,-0.1306214,2.5208672584214103e-55,8.709599537619424e-55,1
Ndufb4,15.618347,5.470064,5.46031561723861e-55,1.8787684393155042e-54,1
Ebna1bp2,15.518138,1.8603873,2.6152939597366703e-54,8.914054990253689e-54,1
Akr1b3,15.496103,-6.8201923,3.685769914970532e-54,1.2542538510647871e-53,1
Snhg9,15.289812,0.21954603,8.940793963588408e-53,3.005048711283391e-52,1
Irf2bp1,1.0879042,1.9462605,0.27663738993881926,0.6999337565175872,2
Bmp6,0.9074299,1.0247365,0.36417951698470497,0.8549007159058429,2
Cdkn1b,0.82919216,8.762716,0.4069956938477143,0.9236315910767656,2
ENSMUSG00000121304,0.62870276,-1.077396,0.5295436865775427,0.9997077125572938,2
Tomm5,0.5338135,3.3073683,0.5934705726303534,0.9997077125572938,2
Ramp2,0.47821897,-0.42700884,0.6324943517624262,0.9997077125572938,2
Lsm4,0.42005384,4.540574,0.6744461183081515,0.9997077125572938,2
H1f0,0.41094157,3.9521756,0.6811153845907847,0.9997077125572938,2
Dohh,0.37849545,-3.331917,0.7050625785434046,0.9997077125572938,2
H2ac18,0.34440592,-1.9070417,0.7305410418393342,0.9997077125572938,2
H2bc24,0.084358744,-2.4044347,0.9327712055251556,0.9983410612864142,3
Gm46658,0.0688404,-5.5567446,0.9451166623712429,0.9983410612864142,3
Gm42457,0.06345909,-3.4939094,0.9494009368665822,0.9983410612864142,3
Gm10415,0.06345909,-5.5429707,0.9494009368665822,0.9983410612864142,3
Retnlg,0.05799706,-2.2875414,0.9537509712319708,0.9983410612864142,3
Tnfsf9,0.05766073,-4.095883,0.9540188768594454,0.9983410612864142,3
ENSMUSG00000121283,0.053221148,-2.7440655,0.957555706557888,0.9983410612864142,3
Gm41183,0.053221148,-3.5316486,0.957555706557888,0.9983410612864142,3
Ggt6,0.053221148,-5.335897,0.957555706557888,0.9983410612864142,3
Gm11192,0.052750282,-5.2591953,0.9579308750966716,0.9983410612864142,3
Strap,5.3018923,1.193321,1.1460848430381836e-07,5.99519960821599e-07,4
Uqcc5,4.630627,8.561917,3.645598652572964e-06,1.6714451307305586e-05,4
