names,scores,logfoldchanges,pvals,pvals_adj,cluster
Fam217b,18.077513,0.4707027,4.792185320893249e-73,1.8023167715254675e-72,0
Slc50a1,16.87934,0.4746935,6.385527182029334e-64,2.2361919863480698e-63,0
Ndufb4,16.66432,-0.51515394,2.3818409712771963e-62,8.237523780713254e-62,0
Pcyox1l,16.496035,1.7484256,3.917906599991495e-61,1.3433658106999077e-60,0
Nfya,16.108038,1.1133215,2.240176172525914e-58,7.524764321167962e-58,0
Prps2,15.90295,-1.6448684,6.044917129175398e-57,2.010401734418324e-56,0
Zfand2b,15.779591,0.22145969,4.299657419956767e-56,1.4183312245534744e-55,0
Rdh11,15.6864395,0.4796473,1.8726860912854634e-55,6.15240994281198e-55,0
Rmi1,15.668454,-2.2194185,2.4855056925920314e-55,8.156980463222617e-55,0
Mettl23,15.147963,1.56714,7.815234660279625e-52,2.495876818166465e-51,0
Crabp1,0.074719094,-2.422932,0.9404382151276052,0.9917386122391986,1
Gal,0.06311242,-2.5998213,0.9496769812556786,0.9917386122391986,1
Pnmt,0.060602874,-1.6172857,0.9516754850574172,0.9917386122391986,1
Gm35147,0.059265062,-2.221796,0.9527409889318446,0.9917386122391986,1
Areg,0.0502233,-2.016949,0.9599444448086358,0.9917386122391986,1
Ngp,0.042510122,-1.2116576,0.9660920424895595,0.9917386122391986,1
Slc34a3,0.042500895,-1.1717982,0.9660993973553076,0.9917386122391986,1
Gm21858,0.04115386,-1.3045658,0.9671732383789134,0.9917386122391986,1
Gm48483,0.04115386,-1.2799724,0.9671732383789134,0.9917386122391986,1
BC039966,0.034824625,-0.9886955,0.972219585053429,0.9917386122391986,1
Irf2bp1,1.0454366,2.5529082,0.2958211999981788,0.7358555686986553,2
Tomm5,0.5519472,2.7507114,0.5809845546278603,0.9995107523741328,2
ENSMUSG00000121304,0.5170314,0.10855664,0.6051342473532608,0.9995107523741328,2
Ramp2,0.49169633,-0.67990595,0.6229340406391464,0.9995107523741328,2
H1f0,0.43396235,3.014326,0.6643157944707825,0.9995107523741328,2
Dohh,0.39116937,-6.097356,0.6956720428995786,0.9995107523741328,2
Lsm4,0.38114038,4.4911475,0.7030990878218875,0.9995107523741328,2
Phpt1,0.3287411,-0.13057706,0.7423513857579902,0.9995107523741328,2
H1f3,0.3188722,-0.5994742,0.7498234206391762,0.9995107523741328,2
Timm10,0.29273662,0.9128394,0.7697234838621952,0.9995107523741328,2
H2bc24,0.08417645,-2.389834,0.93291613828445,0.9984023714464794,3
Gm46658,0.06872741,-5.447828,0.9452066001262032,0.9984023714464794,3
Gm42457,0.06334243,-3.4654953,0.9494938300433684,0.9984023714464794,3
Gm10415,0.06334243,-5.4205832,0.9494938300433684,0.9984023714464794,3
Retnlg,0.057876773,-2.2741714,0.9538467831336356,0.9984023714464794,3
Tnfsf9,0.05745996,-4.045093,0.9541788008118534,0.9984023714464794,3
ENSMUSG00000121283,0.05317752,-2.7327282,0.9575904649552529,0.9984023714464794,3
Gm41183,0.05317752,-3.5107145,0.9575904649552529,0.9984023714464794,3
Ggt6,0.05317752,-5.259383,0.9575904649552529,0.9984023714464794,3
Gm11192,0.052626252,-5.1551065,0.9580297008381513,0.9984023714464794,3
C2cd4d,0.12156175,-6.2759933,0.9032461063800312,0.9994403793613377,4
C1ql1,0.114117235,3.3590605,0.9091448574239401,0.9994403793613377,4
Sp5,0.09691148,-4.6357865,0.9227966888200378,0.9994403793613377,4
H2-Ab1,0.0946464,-1.0516605,0.9245956901672111,0.9994403793613377,4
Ccr2,0.089917034,-1.2775203,0.9283531439632994,0.9994403793613377,4
Sapcd2,0.08636078,-1.9178903,0.9311796188962916,0.9994403793613377,4
Or4b13,0.08248728,-5.316162,0.9342592348671216,0.9994403793613377,4
Dnajb13,0.0824799,-3.404286,0.9342651017559368,0.9994403793613377,4
Gm51802,0.082428254,-1.8677971,0.9343061700775931,0.9994403793613377,4
Fam151a,0.08242088,-1.8225521,0.9343120369949617,0.9994403793613377,4
Gm49984,0.060771402,-3.9859965,0.9515412667833708,0.9993575829963215,5
Cldn7,0.056487918,-3.4300249,0.9549531199606758,0.9993575829963215,5
Gm50339,0.056487918,-4.582788,0.9549531199606758,0.9993575829963215,5
Gm45627,0.05313812,-2.8582685,0.9576218589444159,0.9993575829963215,5
Gjb3,0.052220818,-3.6902578,0.9583527468951938,0.9993575829963215,5
Gm48709,0.052220818,-3.808914,0.9583527468951938,0.9993575829963215,5
Gm43913,0.052212626,-2.8266659,0.9583592728390808,0.9993575829963215,5
Gm12356,0.052212626,-2.7083414,0.9583592728390808,0.9993575829963215,5
Cphx1,0.052212626,-4.45771,0.9583592728390808,0.9993575829963215,5
Sh2d1b1,0.052212626,-3.4175918,0.9583592728390808,0.9993575829963215,5
Aarsd1,2.6842258,6.061972,0.007269798774044401,0.035712837891242175,6
Tmem222,2.2559006,6.9357195,0.02407684930179251,0.1046443194819629,6
Slc25a22,1.8422222,-1.8399911,0.06544265780645733,0.25147935588696363,6
Slc15a4,1.7929732,3.537708,0.07297721064513303,0.2765008706834979,6
Ube2g2,1.6921275,3.8894217,0.0906216718485292,0.33265358407682233,6
Nudt9,1.6136931,4.05666,0.10659401036713266,0.38227391383810105,6
Serp1,1.5872324,2.3750947,0.11246001684048328,0.3996709520617691,6
Plekhj1,1.583517,0.44482315,0.11330369138918207,0.402099002118117,6
Lgalsl,1.5385649,12.293326,0.12391053357925841,0.43446451702509237,6
Dtymk,1.5323187,3.9732838,0.12544381811047825,0.4389286418345662,6
Gm49808,0.043002028,-4.2605915,0.9656999162190596,0.9989701899520749,7
F530104D19Rik,0.039914705,-3.0313962,0.9681611282670092,0.9989701899520749,7
Ankrd66,0.039881624,-1.9256352,0.9681875000802165,0.9989701899520749,7
Atp6v0d2,0.036838405,-6.732555,0.9706138519895111,0.9989701899520749,7
1700045H11Rik,0.0367943,-2.9215927,0.9706490185639098,0.9989701899520749,7
Gata2,0.03651865,-1.9027184,0.9708688109441482,0.9989701899520749,7
Gm36486,0.03375108,-3.7362368,0.9730756462776576,0.9989701899520749,7
Gm43700,0.03375108,-4.9567084,0.9730756462776576,0.9989701899520749,7
Gm1110,0.033740055,-5.888267,0.9730844388737987,0.9989701899520749,7
Gm9869,0.033729028,-2.6732445,0.9730932314732108,0.9989701899520749,7
Mrpl23,1.3118957,7.3487225,0.18955531213980759,0.6701635625536752,8
Bad,1.2213945,-5.7564,0.22193667806815898,0.7551490673090648,8
Mtmr14,1.1694987,5.0349007,0.24220275546422587,0.8068741541716125,8
Abcf2,0.9917384,7.2628174,0.32132516299112457,0.9869630925660082,8
Zfp770,0.89579666,11.19272,0.37036137927634194,0.999950609745963,8
Slc46a3,0.8765439,-1.5872203,0.38073441841892197,0.999950609745963,8
Tfam,0.8617213,1.8668585,0.38884090605534694,0.999950609745963,8
Zfp395,0.85336065,0.50517184,0.3934593243190242,0.999950609745963,8
Tmed4,0.85081804,5.613687,0.39487042478696954,0.999950609745963,8
Dennd4b,0.84207994,0.91818666,0.3997432089918601,0.999950609745963,8
Gm35552,0.42249656,5.2470746,0.672662616052162,0.9995408163358921,9
Aass,0.31956953,-1.7745831,0.7492946776503427,0.9995408163358921,9
C030018K13Rik,0.27355695,6.5690846,0.7844251131118573,0.9995408163358921,9
9130221H12Rik,0.23423754,-1.9692892,0.8148005701765735,0.9995408163358921,9
Gm266,0.20124826,-1.9355534,0.8405044592871844,0.9995408163358921,9
Pdlim2,0.19173037,0.41027802,0.8479534138953403,0.9995408163358921,9
Fgfrl1,0.18478765,2.9770315,0.8533955968957403,0.9995408163358921,9
Vrtn,0.18391414,0.04416495,0.8540808160318852,0.9995408163358921,9
Gimap4,0.164504,-0.6368947,0.8693343971354707,0.9995408163358921,9
Il1rl2,0.15801504,-1.1169477,0.8744449398993153,0.9995408163358921,9
Acaa1a,1.2821217,3.680414,0.19979996476245387,0.7054907847301827,10
Idi1,1.2058355,7.0115848,0.2278809163818406,0.7808689183427466,10
Rab33a,1.1828701,3.0451648,0.23686060049099822,0.8041415927988513,10
Kifc3,1.0977159,2.8148742,0.2723285862496331,0.8934140860967491,10
Rbm7,1.0234418,3.644903,0.3060990054568976,0.9739851604239732,10
Chmp1b2,1.0226221,1.6555047,0.3064865796638909,0.974843766657684,10
Map1s,1.0175918,5.8188915,0.30887199324192216,0.9797177930633305,10
Gpatch11,1.0159398,5.452655,0.3096580213135455,0.981194815437012,10
Mrpl27,0.97491527,7.5758085,0.32960229832320964,0.9999768180427315,10
Unc50,0.9650162,6.751407,0.3345367036058994,0.9999768180427315,10
Map7d3,0.13198847,0.2608596,0.8949934090646311,0.999474765511886,11
Gm41071,0.10789816,-1.7265408,0.9140764745700614,0.999474765511886,11
A730085E03Rik,0.09406148,-0.8858649,0.9250603182160467,0.999474765511886,11
Gm14553,0.09143137,-1.1800146,0.9271498379071269,0.999474765511886,11
Nrm,0.089271374,-3.6534522,0.9288662450368617,0.999474765511886,11
Or4e5,0.08875043,-2.166969,0.9292802518923998,0.999474765511886,11
Gm56946,0.08617114,-2.2993724,0.9313303705600918,0.999474765511886,11
Gm15326,0.083464794,-1.8112884,0.9334819699926492,0.999474765511886,11
Kctd19,0.08083468,-2.336607,0.9355734268542598,0.999474765511886,11
Gm27169,0.08078386,-7.591801,0.9356138459055261,0.999474765511886,11
Pogk,0.8998608,11.9287195,0.3681943340070931,1.0,12
Olig2,0.742934,6.088886,0.45752165140082235,1.0,12
Jup,0.5142037,4.023916,0.6071095747398211,1.0,12
2210016F16Rik,0.4779832,-0.46994406,0.6326621619840312,1.0,12
Wnt7b,0.40263006,6.068582,0.6872203863450059,1.0,12
Tgfbi,0.38288283,-1.1505249,0.7018066455049121,1.0,12
