Resolution,Clusters,Total_markers,Avg_markers_per_cluster
0.05,9,90,1.1111111111111112
0.13,10,100,1.0
0.22,14,140,0.7857142857142857
0.3,19,190,1.3157894736842106
0.38,20,200,2.0
0.47,22,220,1.8181818181818181
0.55,22,220,1.8181818181818181
0.63,23,230,2.1739130434782608
0.72,24,240,1.7083333333333333
0.8,28,280,2.0
