Resolution,Clusters,Total_markers,Avg_markers_per_cluster
0.05,6,60,1.6666666666666667
0.13,10,100,1.0
0.22,13,130,0.8461538461538461
0.3,15,150,0.6666666666666666
0.38,15,150,0.6666666666666666
0.47,16,160,1.25
0.55,17,170,1.1764705882352942
0.63,18,180,1.1111111111111112
0.72,19,190,1.5789473684210527
0.8,20,200,1.5
