names,scores,logfoldchanges,pvals,pvals_adj,cluster
Gm57164,0.07951869,-7.6957107,0.9366200648929581,0.9891695424189462,0
Npw,0.07951869,-4.3126345,0.9366200648929581,0.9891695424189462,0
Anxa8,0.07949139,-3.5609794,0.9366417767116549,0.9891695424189462,0
Hp,0.07949139,-4.7451563,0.9366417767116549,0.9891695424189462,0
Golt1a,0.06726195,-3.1435747,0.9463731688809689,0.9891695424189462,0
Osm,0.06726195,-2.3218691,0.9463731688809689,0.9891695424189462,0
Gm57350,0.055032503,-2.6613903,0.956112569056326,0.9891695424189462,0
Krt18,0.055032503,-3.2577016,0.956112569056326,0.9891695424189462,0
Siglecg,0.045942314,-4.9268556,0.963356228786209,0.9891695424189462,0
H2-Ab1,0.045942314,-4.6117377,0.963356228786209,0.9891695424189462,0
Ampd2,10.984587,4.2689357,4.533087812304407e-28,1.4955977265829942e-27,1
Fam131b,10.154586,1.0185292,3.161487985588835e-24,9.259988009469333e-24,1
Mphosph6,9.774397,0.73704565,1.45018304567221e-22,4.0622888346105285e-22,1
Nol6,9.636478,2.0905986,5.607894790830253e-22,1.5445111461201727e-21,1
Nr2c2ap,9.5931225,4.5643,8.545870869857327e-22,2.3455037314248906e-21,1
Stmp1,9.447456,2.5023382,3.471641576261158e-21,9.388917794056499e-21,1
Mdp1,9.345697,2.2733276,9.128604548562468e-21,2.4416933331853094e-20,1
Mrpl22,9.216539,6.3387628,3.068445322899866e-20,8.106752940142116e-20,1
Gpaa1,9.209715,3.518013,3.2699103816621023e-20,8.63464332627496e-20,1
Slc7a5,9.086606,-1.2894158,1.021788454688299e-19,2.6668382022403285e-19,1
Hpgds,0.95432943,3.3343377,0.3399169011289982,0.9317586871080334,2
A2ml1,0.7639185,5.317396,0.44491580659200924,1.0,2
Gm14326,0.5171997,2.2992277,0.6050167807619841,1.0,2
Mrpl54,0.467051,4.0039716,0.6404633855462241,1.0,2
Comtd1,0.3705682,-0.061670028,0.7109591759350755,1.0,2
Mogs,0.36160934,-4.6734457,0.7176439952791249,1.0,2
Acd,0.30222183,0.90368253,0.7624829667913973,1.0,2
Tnpo2,0.27326298,2.4246924,0.7846510672678939,1.0,2
Xlr5a,0.26621136,1.564121,0.7900764232426243,1.0,2
Ino80e,0.18677141,-0.4606742,0.8518398648683316,1.0,2
Mc1r,0.0809662,0.65757906,0.9354688367361272,0.9998777906168225,3
H2bc3,0.07964516,-5.0704746,0.936519478795723,0.9998777906168225,3
Wfdc18,0.07474392,-5.6040053,0.9404184646513926,0.9998777906168225,3
Gm6360,0.06938318,-1.2403145,0.9446846128775258,0.9998777906168225,3
Gm49128,0.06691342,-5.800233,0.9466506297167452,0.9998777906168225,3
Gm49024,0.06691342,-6.7151074,0.9466506297167452,0.9998777906168225,3
Gm35460,0.064271346,-5.7897506,0.9487541699408679,0.9998777906168225,3
Gm8797,0.061897308,-2.0297348,0.9506446126640804,0.9998777906168225,3
Wbp2nl,0.059197795,-5.4334893,0.9527945659533675,0.9998777906168225,3
Gnat2,0.059197795,-3.617502,0.9527945659533675,0.9998777906168225,3
Snx17,3.5630949,5.861127,0.0003665082940199014,0.0013076827334600862,4
Rhbdd3,3.1352875,4.633196,0.0017168578733096638,0.005633048277756889,4
Paqr7,2.839346,2.6658807,0.0045206115445583,0.014074141817313045,4
Ccdc90b,2.8063264,5.110252,0.005010988983462643,0.015491698540004099,4
Pmpcb,2.7989438,-0.027808927,0.005127004984183785,0.015824096950710957,4
Tsr3,2.7140532,5.8812294,0.006646549125308342,0.020238516964017027,4
Pias4,2.7074223,0.7566461,0.00678079368710358,0.02061358118195866,4
Pttg1ip,2.6179247,1.7799814,0.008846631395604813,0.02646174014626125,4
Utp6,2.5632007,6.2566,0.010371207177551644,0.03072587980976692,4
Itpkb,2.5071082,2.8650568,0.012172347398448422,0.03574513055023078,4
Stambp,2.3297005,0.9244934,0.019821990258597585,0.07296048398021991,5
Tpst2,2.2001696,3.1390362,0.02779487413551704,0.09882891703738893,5
Hax1,2.166824,6.4496927,0.03024827034379185,0.10663998054536812,5
Mak16,2.1340065,3.825814,0.032842253155065705,0.11445400107014009,5
