names,scores,logfoldchanges,pvals,pvals_adj,cluster
Hax1,11.505173,2.7374725,1.242408439111672e-30,4.265880470970684e-30,0
Snrpc,11.136791,4.1410117,8.305862118861114e-29,2.6983443152751167e-28,0
Pdcd7,10.87173,-1.473881,1.571920731725809e-27,4.925666514041294e-27,0
Ache,10.439989,-5.576032,1.6282862443406974e-25,4.850994249366509e-25,0
Armcx2,10.333714,3.1991808,4.960221654717279e-25,1.4590763709819947e-24,0
Scamp3,9.994885,3.3658564,1.6047253865964235e-23,4.560862918778519e-23,0
Psme3,9.816035,3.7443862,9.604715839824354e-23,2.6789830604478518e-22,0
Ggct,9.748218,1.529601,1.877353706655697e-22,5.202432874810871e-22,0
Gm14066,9.668294,-0.4481243,4.1117662284796527e-22,1.1305405752235078e-21,0
Nip7,9.445735,2.4406774,3.52918378419205e-21,9.49235019474579e-21,0
Paf1,2.6944392,6.4187407,0.007050720125793107,0.02738258966178342,1
Ric8a,1.7551636,3.6322885,0.079231335133495,0.25175382550461284,1
Map2k7,1.6895924,-0.4619274,0.0911059630552489,0.28548360129968675,1
Nifk,1.6397688,0.3530412,0.10105322973231973,0.31296730248887,1
Rit1,1.5544139,-2.2456815,0.12008572408618164,0.3641259493662295,1
Rabepk,1.4669151,-0.5667572,0.14239915850990656,0.4217938976204421,1
Ppp4c,1.3949919,0.016124174,0.16301828014606579,0.4735431288788949,1
Aspscr1,1.3868799,-2.1929471,0.1654783961230597,0.47940740808137455,1
Tmem219,1.3179871,-1.0444669,0.1875079542514989,0.5334482622534732,1
Crnkl1,1.315764,1.4925855,0.1882532872832703,0.5349265888569089,1
Ly6d,0.09017027,-8.73729,0.9281519066433594,0.9893962457944178,2
A930018P22Rik,0.09017027,-7.197651,0.9281519066433594,0.9893962457944178,2
Cd244a,0.090143204,-3.1778648,0.9281734178013422,0.9893962457944178,2
Npw,0.0777722,-3.7259104,0.9380092614416952,0.9893962457944178,2
Gm57164,0.0777722,-5.092633,0.9380092614416952,0.9893962457944178,2
Anxa8,0.07774513,-3.2034798,0.938030795002597,0.9893962457944178,2
Hp,0.07774513,-4.004418,0.938030795002597,0.9893962457944178,2
Golt1a,0.06534705,-2.8562517,0.9478976780887564,0.9893962457944178,2
Osm,0.06534705,-2.167202,0.9478976780887564,0.9893962457944178,2
Krt18,0.05294898,-2.952739,0.9577725582395444,0.9893962457944178,2
Hbb-bt,0.075552955,3.5121725,0.9397747644793033,0.9988903437911385,3
Cd8b1,0.07232178,-9.283761,0.9423458294755847,0.9988903437911385,3
Gm31143,0.06384657,-5.4002447,0.9490923928994498,0.9988903437911385,3
Gm47675,0.057490166,-6.482029,0.9541547382513222,0.9988903437911385,3
Trim50,0.057490166,-3.8343751,0.9541547382513222,0.9988903437911385,3
B930092H01Rik,0.057490166,-4.4395056,0.9541547382513222,0.9988903437911385,3
Gm47480,0.057490166,-7.586944,0.9541547382513222,0.9988903437911385,3
Gpr152,0.057490166,-5.100291,0.9541547382513222,0.9988903437911385,3
Gm57407,0.057490166,-6.1351957,0.9541547382513222,0.9988903437911385,3
Slfn4,0.057490166,-5.005327,0.9541547382513222,0.9988903437911385,3
Mc1r,0.094157524,0.5840981,0.9249840229440972,0.9999156413433546,4
Gm6360,0.07462197,-1.3943183,0.940515494751504,0.9999156413433546,4
Aif1,0.06920617,0.9831885,0.9448255122688394,0.9999156413433546,4
Gm8797,0.06723327,-2.342592,0.9463959982042314,0.9999156413433546,4
Gm12753,0.06050221,-4.8083277,0.9517556577384878,0.9999156413433546,4
ENSMUSG00000079808,0.06050221,-7.5793166,0.9517556577384878,0.9999156413433546,4
Gm15845,0.06050221,-5.4361925,0.9517556577384878,0.9999156413433546,4
Gm57106,0.06050221,-7.118871,0.9517556577384878,0.9999156413433546,4
Il1b,0.06050221,-4.726558,0.9517556577384878,0.9999156413433546,4
Gm35217,0.06050221,-5.3028903,0.9517556577384878,0.9999156413433546,4
Hbb-bt,0.10795487,1.3241886,0.9140314953664755,0.9998840482017707,5
Bcl2l14,0.07091085,-3.2921681,0.9434687065885963,0.9998840482017707,5
Ddah2,0.06736531,0.30120826,0.9462908856287715,0.9998840482017707,5
Gm47666,0.06469464,-2.9920635,0.9484171298953303,0.9998840482017707,5
Gm11733,0.05847843,-5.535425,0.9533675436317084,0.9998840482017707,5
Gm11399,0.058386337,-2.8564792,0.9534408970950273,0.9998840482017707,5
Clec4g,0.05226222,-4.138837,0.9583197572353993,0.9998840482017707,5
Leap2,0.05226222,-6.369299,0.9583197572353993,0.9998840482017707,5
2010110E17Rik,0.05226222,-8.235875,0.9583197572353993,0.9998840482017707,5
Gm16863,0.05226222,-3.51912,0.9583197572353993,0.9998840482017707,5
Ddx25,1.1755083,3.5473568,0.23979144431614396,0.8868407144690887,6
AI837181,0.8302599,6.142471,0.40639182799450446,1.0,6
Trnt1,0.8001678,6.7479863,0.42361359958907563,1.0,6
Trim27,0.73351854,2.3279395,0.4632422300348439,1.0,6
Trp53,0.7048759,0.9653583,0.48088748081748434,1.0,6
Acd,0.6521711,2.6765397,0.5142908091277834,1.0,6
Ubl4a,0.64266217,2.6265922,0.5204433186562001,1.0,6
Adgrg1,0.6321966,6.260637,0.5272584130330262,1.0,6
Urm1,0.6277031,3.960029,0.5301984701019158,1.0,6
Irf3,0.6165707,1.4955446,0.5375179188353634,1.0,6
Ttr,0.1819043,5.512031,0.8556578258396185,0.9999367024916104,7
8430422H06Rik,0.1709246,-0.36843783,0.8642830461245389,0.9999367024916104,7
Mc1r,0.12993164,-2.1545722,0.8966205061938501,0.9999367024916104,7
2810030D12Rik,0.109859884,-0.89080435,0.9125204999879016,0.9999367024916104,7
Pdlim2,0.0984712,2.098888,0.921558140310509,0.9999367024916104,7
Zfp663,0.076952256,-1.493143,0.9386615283713076,0.9999367024916104,7
B3galt4,0.057132173,-0.4162834,0.9544399087651195,0.9999367024916104,7
A830035O19Rik,0.054678258,-0.59567994,0.956394791789973,0.9999367024916104,7
Il23a,0.05052548,-1.6021435,0.9597036467814598,0.9999367024916104,7
Cdh1,0.050399635,-2.3947842,0.9598039262408582,0.9999367024916104,7
Gm47389,0.0,0.0,1.0,1.0,8
Gm12678,0.0,0.0,1.0,1.0,8
Msx2,0.0,0.0,1.0,1.0,8
Or2d3,0.0,0.0,1.0,1.0,8
Or52e4,0.0,0.0,1.0,1.0,8
Sdr9c7,0.0,0.0,1.0,1.0,8
Gm13346,0.0,0.0,1.0,1.0,8
Or2h1b,-0.004321099,0.23330702,0.9965522726920613,0.9982369962483086,8
Ffar2,-0.004321099,0.23330702,0.9965522726920613,0.9982369962483086,8
B430319H21Rik,-0.004321099,0.23330702,0.9965522726920613,0.9982369962483086,8
Or52e4,0.0,0.0,1.0,1.0,9
Gm12678,0.0,0.0,1.0,1.0,9
Or2d3,0.0,0.0,1.0,1.0,9
Gm13346,0.0,0.0,1.0,1.0,9
Sdr9c7,0.0,0.0,1.0,1.0,9
Msx2,0.0,0.0,1.0,1.0,9
Gm47389,0.0,0.0,1.0,1.0,9
