names,scores,logfoldchanges,pvals,pvals_adj,cluster
Npw,0.08094829,-5.0916395,0.9354830755035646,0.9891573367544297,0
Anxa8,0.0809208,-3.945289,0.9355049349944868,0.9891573367544297,0
Osm,0.06882666,-2.4643333,0.9451275950984503,0.9891573367544297,0
Gm57350,0.05673252,-2.8398988,0.9547582683360195,0.9891573367544297,0
Krt18,0.05673252,-3.5717826,0.9547582683360195,0.9891573367544297,0
Dnajc5g,0.044665866,-2.410228,0.9643736423153042,0.9891573367544297,0
Gm20744,0.04461089,-1.6869873,0.9644174610422969,0.9891573367544297,0
Hoxb1,0.0404604,-2.0364103,0.9677260757868802,0.9891573367544297,0
Gm49490,0.0404604,-2.0346441,0.9677260757868802,0.9891573367544297,0
Gm10660,0.0404604,-1.5761263,0.9677260757868802,0.9891573367544297,0
Snrpc,11.02247,2.9480236,2.9777319821232104e-28,1.0657942134257855e-27,1
Dph3,10.761233,-0.9289946,5.2463211899888694e-27,1.779789716905658e-26,1
Gpatch4,10.587214,2.4196389,3.4160628052644e-26,1.1232207516212407e-25,1
Ccdc71l,9.907595,4.1123195,3.8582210835789716e-23,1.1344048930865836e-22,1
Gatd3a,9.90391,2.6013794,4.0031380119891374e-23,1.1763504408314787e-22,1
Tsr3,9.783971,3.873276,1.3193059664152235e-22,3.8149540650411817e-22,1
Serp1,9.670041,1.9203199,4.0421506677254152e-22,1.1545016439337127e-21,1
Ggct,9.60045,4.6646876,7.959639326610217e-22,2.2531569694251352e-21,1
Coa7,9.566575,0.6598558,1.1050560898146779e-21,3.1172816833540864e-21,1
Creg1,9.498682,-0.54287565,2.1256312436073732e-21,5.954371134854177e-21,1
Hpgds,0.84180516,4.4733243,0.3998970088187622,0.9999350110474398,2
A2ml1,0.70077914,6.1495256,0.48344086345994874,0.9999350110474398,2
Comtd1,0.39383078,-0.3608951,0.693705975247631,0.9999350110474398,2
Gm14326,0.37107503,4.7833962,0.7105816526766151,0.9999350110474398,2
Mrpl54,0.3520037,4.622814,0.7248354889954444,0.9999350110474398,2
Acd,0.3273531,0.5611287,0.7434008439418686,0.9999350110474398,2
Xlr5a,0.2774027,1.5032527,0.7814709047405323,0.9999350110474398,2
Mogs,0.23218945,0.19595622,0.8163908712948056,0.9999350110474398,2
Tmem198,0.21241632,2.2173505,0.8317822490839266,0.9999350110474398,2
Pelp1,0.20024015,4.007786,0.8412927647826228,0.9999350110474398,2
Mc1r,0.0809662,0.65757906,0.9354688367361272,0.9998777906168225,3
H2bc3,0.07964516,-5.0704746,0.936519478795723,0.9998777906168225,3
Wfdc18,0.07474392,-5.6040053,0.9404184646513926,0.9998777906168225,3
Gm6360,0.06938318,-1.2403145,0.9446846128775258,0.9998777906168225,3
Gm49128,0.06691342,-5.800233,0.9466506297167452,0.9998777906168225,3
Gm49024,0.06691342,-6.7151074,0.9466506297167452,0.9998777906168225,3
Gm35460,0.064271346,-5.7897506,0.9487541699408679,0.9998777906168225,3
Gm8797,0.061897308,-2.0297348,0.9506446126640804,0.9998777906168225,3
Wbp2nl,0.059197795,-5.4334893,0.9527945659533675,0.9998777906168225,3
Gnat2,0.059197795,-3.617502,0.9527945659533675,0.9998777906168225,3
Hbb-bt,0.10795487,1.3241886,0.9140314953664755,0.9998072256403475,4
Bcl2l14,0.07091085,-3.2921681,0.9434687065885963,0.9998072256403475,4
Ddah2,0.06736531,0.30120826,0.9462908856287715,0.9998072256403475,4
Gm47666,0.06469464,-2.9920635,0.9484171298953303,0.9998072256403475,4
Gm11733,0.05847843,-5.535425,0.9533675436317084,0.9998072256403475,4
Gm11399,0.058386337,-2.8564792,0.9534408970950273,0.9998072256403475,4
2010110E17Rik,0.05226222,-8.235875,0.9583197572353993,0.9998072256403475,4
Leap2,0.05226222,-6.369299,0.9583197572353993,0.9998072256403475,4
Gm19583,0.05226222,-3.9443076,0.9583197572353993,0.9998072256403475,4
Gm44864,0.05226222,-3.1756272,0.9583197572353993,0.9998072256403475,4
Vps52,3.220512,3.8076122,0.0012796184317026876,0.004319126376608075,5
Eif4a3,3.1373887,5.0533466,0.0017046000172177978,0.005677136822800869,5
Mfap1a,3.076817,4.74082,0.0020922363696451855,0.006885470132923458,5
Scnm1,3.0519197,6.0895076,0.00227383009398276,0.007446429390808258,5
AU022252,2.8850691,3.8271782,0.003913277827215081,0.01238594952450217,5
Utp6,2.8437977,2.6512299,0.0044579337378593265,0.013989262214700348,5
Rprm,2.7562847,-7.7317066,0.005846206274219371,0.018056680935336245,5
Acadm,2.7293668,2.602107,0.006345609422770107,0.019529734772876808,5
Vars,2.723328,-2.1455019,0.006462783044639841,0.019855198769361922,5
Gm16023,2.69929,6.206097,0.006948760265408678,0.021223187544455208,5
1700101I19Rik,0.049859278,-4.288419,0.9602345279478883,0.9995049051452137,6
4930556N09Rik,0.049859278,-6.230654,0.9602345279478883,0.9995049051452137,6
Gm47126,0.043815017,-4.4958577,0.9650518568004703,0.9995049051452137,6
Fetub,0.0437915,-4.3998713,0.9650706038766643,0.9995049051452137,6
5031425F14Rik,0.04376798,-4.386212,0.9650893509721661,0.9995049051452137,6
Cd8b1,0.04376798,-3.0633285,0.9650893509721661,0.9995049051452137,6
Hbb-bt,0.043415204,2.8438697,0.9653705597145961,0.9995049051452137,6
Gm49534,0.037747238,-4.6201005,0.9698892132863028,0.9995049051452137,6
Stmnd1,0.03772372,-3.2389565,0.9699079650007139,0.9995049051452137,6
Sult2a8,0.03772372,-3.9368308,0.9699079650007139,0.9995049051452137,6
Gm8797,0.08297862,-1.9558014,0.9338685394812045,0.9993404770134843,7
Hbb-bt,0.057091698,2.9112105,0.9544721489787185,0.9993404770134843,7
Lyz2,0.054457854,-1.932401,0.9565703854756973,0.9993404770134843,7
Igf2,0.050017945,-2.774969,0.9601080865202822,0.9993404770134843,7
1700012C14Rik,0.044449247,-3.1267784,0.9645463055019694,0.9993404770134843,7
Prss30,0.03883038,-4.572267,0.9690256216129917,0.9993404770134843,7
Snhg18,0.037726678,-0.4394986,0.9699056065750629,0.9993404770134843,7
Gm15298,0.0332366,-5.5786443,0.9734859118639451,0.9993404770134843,7
Gm5907,0.033211514,-4.8361926,0.9735059151375299,0.9993404770134843,7
Gm16212,0.033186432,-3.0470822,0.9735259184277794,0.9993404770134843,7
Lmna,4.2024817,2.0179584,2.640047859366422e-05,0.00010947779185866388,8
Mrpl50,3.7723753,5.7246003,0.00016170070252839372,0.0005940114154738274,8
Scnm1,3.7464564,8.050872,0.0001793502458623408,0.0006543297313010197,8
