gene,score,pval,pval_adj
Rbms3,18.443233,5.90985307586991e-76,1.9913840924451248e-71
Grip1,17.977737,2.9112851740466104e-72,4.904933261233729e-68
Gad2,17.94791,4.982954094606279e-72,5.596854039061773e-68
Erbb4,17.807444,6.187130703489887e-71,5.212038904619881e-67
Dlx6os1,17.755436,1.5645306904835304e-70,1.0543685229306608e-66
Grik1,16.45979,7.134819980643316e-61,4.006914901129286e-57
Kcnip1,16.377308,2.7777014809894585e-60,1.3371061300488685e-56
Ptprm,16.276035,1.460282495832648e-59,6.150709872447112e-56
Sox2ot,16.014591,1.0106874572694813e-57,3.7840138400169376e-54
Kcnmb2,15.937386,3.486380828294387e-57,1.1747708839020768e-53
Spock3,15.917088,4.823072771629919e-57,1.4774387282985614e-53
Gad1,15.825076,2.0894519219325605e-56,5.86718099678663e-53
Kcnc2,15.600566,7.215155406814777e-55,1.8701682814463902e-51
Alk,15.5477495,1.6479542654491045e-54,3.966390494898073e-51
Maf,15.464353,6.037750841606855e-54,1.3563203490585637e-50
Galntl6,15.351666,3.452039838068753e-53,7.269995898972793e-50
Slc6a1,15.2930355,8.509019585522856e-53,1.6865877879634009e-49
Nrxn3,15.177065,5.0173413166636324e-52,9.392462944794319e-49
5330434G04Rik,15.114073,1.307988344053589e-51,2.319682907433144e-48
Peg3,15.037406,4.1759793801738456e-51,7.035690059716896e-48
