gene,score,pval,pval_adj
Camk2d,17.722673,2.8026761013933082e-70,9.44389739125489e-66
Mef2c,17.486145,1.8270544534459672e-68,3.0782213431657655e-64
Nrg1,16.799791,2.449030498251524e-63,2.7507510556361118e-59
Car10,16.709965,1.1089981675351746e-62,9.34220056331631e-59
Lingo2,16.651115,2.9700979076087794e-62,2.0016083818957088e-58
Ptprd,16.512304,2.992371769456049e-61,1.680515985726517e-57
Unc5d,15.656892,2.9811529616626247e-55,1.435041859945483e-51
Nwd2,15.509714,2.982033856556499e-54,1.2560326603815972e-50
Cntn5,15.213021,2.8985179397619555e-52,1.085205116646876e-48
Cobl,15.082721,2.1041761932935436e-51,7.090232100921924e-48
Cntnap5a,14.74358,3.3836191516391007e-49,1.036494826669374e-45
Rgs6,14.539891,6.77000882354462e-48,1.901018477651329e-44
Dpp10,14.524695,8.451765511026566e-48,2.190697620458086e-44
Cacna2d1,14.19023,1.0531204812395885e-45,2.5347105525606553e-42
Magi1,14.116806,2.992497130177838e-45,6.722345553231495e-42
Pdzrn3,14.023473,1.1199671050082995e-44,2.3586507231474784e-41
Sorbs2,13.979711,2.0732904553882835e-44,4.109505599103741e-41
Ptprk,13.946506,3.3040242713269497e-44,6.185133435924049e-41
Rasgef1b,13.877939,8.618618838573508e-44,1.5284893704451207e-40
Lrrc4c,13.86435,1.0416482778823292e-43,1.7549690185761483e-40
