cluster,rank,gene,score,pval,pval_adj
cluster_0,0,Anxa8,0.09490772,0.9243881208059034,1.0
cluster_0,1,A930018P22Rik,0.09490772,0.9243881208059034,1.0
cluster_0,2,Npw,0.09490772,0.9243881208059034,1.0
cluster_0,3,Vmn2r103,0.08604967,0.9314269323656843,1.0
cluster_0,4,Gm57164,0.06896628,0.945016460277536,1.0
cluster_0,5,Gm39228,0.06896628,0.945016460277536,1.0
cluster_0,6,Gm20744,0.06896628,0.945016460277536,1.0
cluster_0,7,Iglc1,0.06896628,0.945016460277536,1.0
cluster_0,8,S100a8,0.06453725,0.9485424454893785,1.0
cluster_0,9,Or13c9,0.04745386,0.9621515013956067,1.0
cluster_0,10,Vmn1r77,0.04745386,0.9621515013956067,1.0
cluster_0,11,Gm29926,0.04745386,0.9621515013956067,1.0
cluster_0,12,Gm13021,0.04745386,0.9621515013956067,1.0
cluster_0,13,Gm10660,0.04745386,0.9621515013956067,1.0
cluster_0,14,Ly6d,0.04745386,0.9621515013956067,1.0
cluster_0,15,Vmn2r48,0.04745386,0.9621515013956067,1.0
cluster_0,16,H3c3,0.04745386,0.9621515013956067,1.0
cluster_0,17,Qrfp,0.04745386,0.9621515013956067,1.0
cluster_0,18,Vmn2r94,0.04745386,0.9621515013956067,1.0
cluster_0,19,Art1,0.04745386,0.9621515013956067,1.0
cluster_1,0,Camk2d,17.722673,2.8026761013933082e-70,9.44389739125489e-66
cluster_1,1,Mef2c,17.486145,1.8270544534459672e-68,3.0782213431657655e-64
cluster_1,2,Nrg1,16.799791,2.449030498251524e-63,2.7507510556361118e-59
cluster_1,3,Car10,16.709965,1.1089981675351746e-62,9.34220056331631e-59
cluster_1,4,Lingo2,16.651115,2.9700979076087794e-62,2.0016083818957088e-58
cluster_1,5,Ptprd,16.512304,2.992371769456049e-61,1.680515985726517e-57
cluster_1,6,Unc5d,15.656892,2.9811529616626247e-55,1.435041859945483e-51
cluster_1,7,Nwd2,15.509714,2.982033856556499e-54,1.2560326603815972e-50
cluster_1,8,Cntn5,15.213021,2.8985179397619555e-52,1.085205116646876e-48
cluster_1,9,Cobl,15.082721,2.1041761932935436e-51,7.090232100921924e-48
cluster_1,10,Cntnap5a,14.74358,3.3836191516391007e-49,1.036494826669374e-45
cluster_1,11,Rgs6,14.539891,6.77000882354462e-48,1.901018477651329e-44
cluster_1,12,Dpp10,14.524695,8.451765511026566e-48,2.190697620458086e-44
cluster_1,13,Cacna2d1,14.19023,1.0531204812395885e-45,2.5347105525606553e-42
cluster_1,14,Magi1,14.116806,2.992497130177838e-45,6.722345553231495e-42
cluster_1,15,Pdzrn3,14.023473,1.1199671050082995e-44,2.3586507231474784e-41
cluster_1,16,Sorbs2,13.979711,2.0732904553882835e-44,4.109505599103741e-41
cluster_1,17,Ptprk,13.946506,3.3040242713269497e-44,6.185133435924049e-41
cluster_1,18,Rasgef1b,13.877939,8.618618838573508e-44,1.5284893704451207e-40
