cluster,rank,gene,score,pval,pval_adj
cluster_1,19,Lrrc4c,13.86435,1.0416482778823292e-43,1.7549690185761483e-40
cluster_2,0,Qki,30.011717,6.902008815154584e-198,2.325700890354488e-193
cluster_2,1,Zbtb20,28.011677,1.1710665248760673e-172,1.973012881111198e-168
cluster_2,2,Phlpp1,27.74253,2.144327049296556e-169,2.408508141769892e-165
cluster_2,3,Nfia,27.509361,1.3566210078505814e-166,1.1428175370133298e-162
cluster_2,4,Maml2,27.475489,3.44690623070668e-166,2.322939046997846e-162
cluster_2,5,Gpc5,27.441156,8.858979929859192e-166,4.975203128608922e-162
cluster_2,6,Nckap5,27.334486,1.6514269148508016e-164,7.949497331830374e-161
cluster_2,7,Epn2,27.327404,2.0045568497423584e-164,8.443193451114813e-161
cluster_2,8,Scd2,27.172201,1.3843027446417566e-162,5.182829475938736e-159
cluster_2,9,Tnr,27.157122,2.0863130094653883e-162,7.030040316694573e-159
cluster_2,10,Zeb2,27.126884,4.745515534700738e-162,1.4536808314297825e-158
cluster_2,11,Dscaml1,27.100435,9.730525440704544e-162,2.732331543749836e-158
cluster_2,12,Xist,27.07927,1.7277874960136153e-161,4.478425189667291e-158
cluster_2,13,Tcf12,27.062084,2.753002760378569e-161,6.62608435812259e-158
cluster_2,14,Plp1,27.040997,4.874257032633271e-161,1.094953099810738e-157
cluster_2,15,Dock4,27.031466,6.3090466108779e-161,1.3286852162508857e-157
cluster_2,16,Luzp2,27.011946,1.0699208240841346e-160,2.120708946372882e-157
cluster_2,17,Lsamp,27.008806,1.1647110502249283e-160,2.1803390860210655e-157
cluster_2,18,Ptprz1,26.999659,1.4915792931276972e-160,2.64527662427531e-157
cluster_2,19,Ddx5,26.962648,4.054458530709217e-160,6.83095173253889e-157
cluster_3,0,Rbms3,18.443233,5.90985307586991e-76,1.9913840924451248e-71
cluster_3,1,Grip1,17.977737,2.9112851740466104e-72,4.904933261233729e-68
cluster_3,2,Gad2,17.94791,4.982954094606279e-72,5.596854039061773e-68
cluster_3,3,Erbb4,17.807444,6.187130703489887e-71,5.212038904619881e-67
cluster_3,4,Dlx6os1,17.755436,1.5645306904835304e-70,1.0543685229306608e-66
cluster_3,5,Grik1,16.45979,7.134819980643316e-61,4.006914901129286e-57
cluster_3,6,Kcnip1,16.377308,2.7777014809894585e-60,1.3371061300488685e-56
cluster_3,7,Ptprm,16.276035,1.460282495832648e-59,6.150709872447112e-56
cluster_3,8,Sox2ot,16.014591,1.0106874572694813e-57,3.7840138400169376e-54
cluster_3,9,Kcnmb2,15.937386,3.486380828294387e-57,1.1747708839020768e-53
cluster_3,10,Spock3,15.917088,4.823072771629919e-57,1.4774387282985614e-53
cluster_3,11,Gad1,15.825076,2.0894519219325605e-56,5.86718099678663e-53
cluster_3,12,Kcnc2,15.600566,7.215155406814777e-55,1.8701682814463902e-51
cluster_3,13,Alk,15.5477495,1.6479542654491045e-54,3.966390494898073e-51
cluster_3,14,Maf,15.464353,6.037750841606855e-54,1.3563203490585637e-50
cluster_3,15,Galntl6,15.351666,3.452039838068753e-53,7.269995898972793e-50
cluster_3,16,Slc6a1,15.2930355,8.509019585522856e-53,1.6865877879634009e-49
cluster_3,17,Nrxn3,15.177065,5.0173413166636324e-52,9.392462944794319e-49
cluster_3,18,5330434G04Rik,15.114073,1.307988344053589e-51,2.319682907433144e-48
cluster_3,19,Peg3,15.037406,4.1759793801738456e-51,7.035690059716896e-48
cluster_4,0,Kcnq5,11.75971,6.294979768403767e-32,1.604110868980228e-27
cluster_4,1,Schip1,11.724724,9.521075908002303e-32,1.604110868980228e-27
cluster_4,2,Nell2,11.433866,2.832146335158189e-30,2.6656856961400575e-26
cluster_4,3,Cnksr2,11.417444,3.421471235872713e-30,2.6656856961400575e-26
cluster_4,4,Zbtb20,11.395877,4.383948534001623e-30,2.6656856961400575e-26
cluster_4,5,Msra,11.388953,4.7465913392807294e-30,2.6656856961400575e-26
cluster_4,6,Epha4,11.257034,2.1383478870980896e-29,9.508420466244218e-26
cluster_4,7,Galnt17,11.2522545,2.2574597498205647e-29,9.508420466244218e-26
cluster_4,8,Tenm2,11.188716,4.6309256538408916e-29,1.6366185985561165e-25
cluster_4,9,Lsamp,11.184488,4.8570115104348186e-29,1.6366185985561165e-25
cluster_4,10,Ryr3,11.13737,8.252063406987208e-29,2.5278320778349175e-25
cluster_4,11,Opcml,11.129527,9.011256547396877e-29,2.530360838509043e-25
cluster_4,12,Aff3,11.119662,1.0065256050626928e-28,2.6089143683225e-25
cluster_4,13,Clstn2,11.056552,2.037819815828732e-28,4.904741179583211e-25
cluster_4,14,Rapgef2,11.037435,2.521283254985782e-28,5.663810704000061e-25
cluster_4,15,Ppp3ca,11.004961,3.6167385232849336e-28,7.498949023384971e-25
cluster_4,16,Gabrb3,10.995096,4.0348470415088188e-28,7.498949023384971e-25
cluster_4,17,Psd3,10.993135,4.1234910331463525e-28,7.498949023384971e-25
cluster_4,18,Lingo1,10.990868,4.228395994904868e-28,7.498949023384971e-25
cluster_4,19,Cntnap2,10.981187,4.706975496547553e-28,7.930312316583318e-25
cluster_5,0,Cdh18,13.85164,1.2434031705775544e-43,4.189771323578127e-39
cluster_5,1,Tle4,13.605092,3.734999903697981e-42,6.292727837750358e-38
cluster_5,2,Hs3st4,12.975044,1.694988349542657e-38,1.9038109142063122e-34
cluster_5,3,Grik3,12.877452,6.029339882375812e-38,5.079115916913384e-34
cluster_5,4,Dlc1,12.73357,3.8483150930758385e-37,2.593456507525669e-33
cluster_5,5,Rai14,12.477986,9.84445728258676e-36,5.528647209900724e-32
cluster_5,6,Etl4,12.437576,1.6338743782422912e-35,7.865004435607463e-32
cluster_5,7,Cntnap4,12.183787,3.7925408670977067e-34,1.597418213221554e-30
cluster_5,8,Foxp2,11.224884,3.0778860939952126e-29,1.1523605535918075e-25
cluster_5,9,Grm3,10.879382,1.4453884339821851e-27,4.8703808671463714e-24
cluster_5,10,Htr1f,10.35918,3.8020696551506805e-25,1.0836246839139355e-21
cluster_5,11,Dpp10,10.357757,3.859062264650768e-25,1.0836246839139355e-21
cluster_5,12,Sdk2,10.262888,1.0356266242071353e-24,2.684344209944895e-21
cluster_5,13,Frmpd4,10.168513,2.7405897759340972e-24,6.596208077848239e-21
cluster_5,14,Fut9,10.095984,5.7550526239258984e-24,1.2928150214387138e-20
cluster_5,15,Mmp16,10.032925,1.0923264926112162e-23,2.3004395934392213e-20
cluster_5,16,Slc35f1,9.618298,6.692995327968936e-22,1.3266304151249486e-18
cluster_5,17,Garnl3,9.55109,1.2833825886679579e-21,2.402492205986417e-18
cluster_5,18,Pbx1,9.373544,7.013748233696755e-21,1.2438697920139257e-17
cluster_5,19,Olfm3,9.350584,8.716494391053862e-21,1.4685549750047547e-17
cluster_6,0,Cped1,10.962268,5.802695014636114e-28,1.9552761121317848e-23
cluster_6,1,Phldb2,10.318435,5.816385150625103e-25,9.799445701773174e-21
cluster_6,2,Ebf1,9.521333,1.709720133901476e-21,1.7271724244873867e-17
cluster_6,3,Slc6a20a,9.5024395,2.0502996492015512e-21,1.7271724244873867e-17
cluster_6,4,Atp1a2,9.389809,6.010950353052182e-21,4.0508996619289264e-17
cluster_6,5,Pdgfd,9.355999,8.281321351140465e-21,4.650790070800485e-17
cluster_6,6,Sparc,9.292823,1.5025019471046307e-20,7.232615087091091e-17
cluster_6,7,Arhgap29,9.218442,3.0144774730886465e-20,1.2696979116649378e-16
cluster_6,8,Cald1,9.204189,3.442600933369441e-20,1.2889097894535184e-16
cluster_6,9,Col1a2,8.861921,7.864741295564784e-19,2.65010322695351e-15
cluster_6,10,Uaca,8.817173,1.1738537134556854e-18,3.595834066236616e-15
cluster_6,11,Rbpms,8.561218,1.1168139932105164e-17,3.13601369293513e-14
cluster_6,12,Flt1,8.548291,1.2492458545548095e-17,3.2380452550060666e-14
cluster_6,13,Nxn,8.404369,4.301654459645775e-17,1.0353467762301716e-13
cluster_6,14,Lama2,8.177782,2.8911662808847024e-16,6.494715933379395e-13
cluster_6,15,Zic1,8.138934,3.9877195442297607e-16,8.398137360147876e-13
cluster_6,16,Ahnak,8.127334,4.3883786032442855e-16,8.698282671465849e-13
cluster_6,17,Igfbp7,8.061969,7.50753914288625e-16,1.4054113275483057e-12
cluster_6,18,Epas1,7.9255385,2.271593837827658e-15,3.7414594264312056e-12
cluster_6,19,Cfh,7.925141,2.278876972713427e-15,3.7414594264312056e-12
cluster_7,0,Nxph1,5.8838897,4.007355697992496e-09,2.647683482344219e-06
cluster_7,1,Adarb2,5.8564878,4.727579719139201e-09,3.0634716580022026e-06
cluster_7,2,Erbb4,4.407006,1.0480935015558442e-05,0.0007627766442424563
cluster_7,3,St18,4.091962,4.2773889659355034e-05,0.001803891096322437
cluster_7,4,Sox2ot,3.9354343,8.304635964207883e-05,0.0027071456313693017
cluster_7,5,Zbtb20,3.9019191,9.543307535916859e-05,0.0029127834305276673
cluster_7,6,Galntl6,3.650812,0.0002614125300501173,0.0053191766984110826
cluster_7,7,Dlx6os1,3.5605786,0.0003700386990700504,0.0066642565493663375
cluster_7,8,Gm2164,3.4073656,0.0006559319942616426,0.00982323754606236
cluster_7,9,Sema5a,3.4065554,0.0006578820825334723,0.009834957698779007
cluster_7,10,Grik1,3.1207545,0.0018038838484166957,0.019138435187735822
cluster_7,11,Gm32647,3.1030023,0.0019156810226292787,0.019929233633379492
cluster_7,12,Zfpm2,2.9212093,0.003486753598181879,0.029879845466398942
cluster_7,13,Gpc6,2.8432035,0.004466254996719675,0.03535221126865215
cluster_7,14,Shisa6,2.5194676,0.011753244749709858,0.07133237303426214
cluster_7,15,Rorb,2.4363792,0.014835127099683909,0.08449703224323006
cluster_7,16,Ttr,2.2607,0.023777843826803133,0.1208656246172814
cluster_7,17,Nr3c2,2.2136312,0.02685416009253579,0.1327189466820308
cluster_7,18,Frem1,2.2090642,0.027170171190076812,0.1338488433363784
cluster_7,19,Dock10,2.1561763,0.031069896336372905,0.14833256261694835
