gene,score,pval,pval_adj
Anxa8,0.09490772,0.9243881208059034,1.0
A930018P22Rik,0.09490772,0.9243881208059034,1.0
Npw,0.09490772,0.9243881208059034,1.0
Vmn2r103,0.08604967,0.9314269323656843,1.0
Gm57164,0.06896628,0.945016460277536,1.0
Gm39228,0.06896628,0.945016460277536,1.0
Gm20744,0.06896628,0.945016460277536,1.0
Iglc1,0.06896628,0.945016460277536,1.0
S100a8,0.06453725,0.9485424454893785,1.0
Or13c9,0.04745386,0.9621515013956067,1.0
Vmn1r77,0.04745386,0.9621515013956067,1.0
Gm29926,0.04745386,0.9621515013956067,1.0
Gm13021,0.04745386,0.9621515013956067,1.0
Gm10660,0.04745386,0.9621515013956067,1.0
Ly6d,0.04745386,0.9621515013956067,1.0
Vmn2r48,0.04745386,0.9621515013956067,1.0
H3c3,0.04745386,0.9621515013956067,1.0
Qrfp,0.04745386,0.9621515013956067,1.0
Vmn2r94,0.04745386,0.9621515013956067,1.0
Art1,0.04745386,0.9621515013956067,1.0
