gene,score,pval,pval_adj
Qki,30.011717,6.902008815154584e-198,2.325700890354488e-193
Zbtb20,28.011677,1.1710665248760673e-172,1.973012881111198e-168
Phlpp1,27.74253,2.144327049296556e-169,2.408508141769892e-165
Nfia,27.509361,1.3566210078505814e-166,1.1428175370133298e-162
Maml2,27.475489,3.44690623070668e-166,2.322939046997846e-162
Gpc5,27.441156,8.858979929859192e-166,4.975203128608922e-162
Nckap5,27.334486,1.6514269148508016e-164,7.949497331830374e-161
Epn2,27.327404,2.0045568497423584e-164,8.443193451114813e-161
Scd2,27.172201,1.3843027446417566e-162,5.182829475938736e-159
Tnr,27.157122,2.0863130094653883e-162,7.030040316694573e-159
Zeb2,27.126884,4.745515534700738e-162,1.4536808314297825e-158
Dscaml1,27.100435,9.730525440704544e-162,2.732331543749836e-158
Xist,27.07927,1.7277874960136153e-161,4.478425189667291e-158
Tcf12,27.062084,2.753002760378569e-161,6.62608435812259e-158
Plp1,27.040997,4.874257032633271e-161,1.094953099810738e-157
Dock4,27.031466,6.3090466108779e-161,1.3286852162508857e-157
Luzp2,27.011946,1.0699208240841346e-160,2.120708946372882e-157
Lsamp,27.008806,1.1647110502249283e-160,2.1803390860210655e-157
Ptprz1,26.999659,1.4915792931276972e-160,2.64527662427531e-157
Ddx5,26.962648,4.054458530709217e-160,6.83095173253889e-157
