gene,score,pval,pval_adj
Rbms3,18.49152,2.416425263644565e-76,8.142386568376726e-72
Grik1,17.402958,7.8351021749542e-68,1.3200580144362837e-63
Nxph1,17.241373,1.2991292108503753e-66,1.4591819296271414e-62
Kcnmb2,17.003294,7.763193280432393e-65,6.539714019436248e-61
Dlx6os1,16.71731,9.804581366435096e-63,6.60750347446794e-59
Gad2,16.644028,3.3435589697847847e-62,1.877742717431135e-58
Erbb4,16.490355,4.304221171982064e-61,2.071929094444395e-57
Ptprm,15.928544,4.0159696123948814e-57,1.691526400740724e-53
Kcnc2,15.633204,4.324975247598147e-55,1.6192707327007462e-51
Grip1,15.5966625,7.66998388005251e-55,2.5082964448209164e-51
Alk,15.592486,8.188289676231624e-55,2.5082964448209164e-51
Gad1,15.332523,4.636229287837346e-53,1.3018531840247268e-49
Kcnip1,15.273495,1.148487832830722e-52,2.9768804626972315e-49
Spock3,14.810427,1.254407427175382e-49,3.0191794761501194e-46
Frmd5,14.673418,9.541493900127266e-49,2.0381878219883645e-45
Slc6a1,14.672454,9.67800485274627e-49,2.0381878219883645e-45
Galntl6,14.546929,6.108375769311298e-48,1.210751940721844e-44
Zfp536,14.530586,7.755351121155743e-48,1.451801729880355e-44
Sox2ot,14.226613,6.264326705424152e-46,1.1109618561366961e-42
Nhs,13.951712,3.071458771890812e-44,5.17479373888164e-41
