Group,Mean,Median,Min,Max,Count
Assigned,0.8903387676555597,0.9968202512358648,0.0017350211243394515,1.0,3537
Unassigned,0.4200266435544641,0.3076066733893768,0.00029695404020281584,1.0,2705
