gene,score,pval,pval_adj
Flt1,11.450767,2.3307450423742983e-30,7.853678494784436e-26
Slco1a4,10.909905,1.0336380858068329e-27,1.741473446967352e-23
Adgrl4,9.884193,4.8749083611166774e-23,5.475497071206252e-19
Cldn5,9.609914,7.261006029159652e-22,6.116671478964091e-18
Ebf1,9.553517,1.2536590165750546e-21,8.448658844502609e-18
Mecom,9.369894,7.260534655526834e-21,3.671355602944302e-17
Slco1c1,9.364697,7.626866459107939e-21,3.671355602944302e-17
Abcb1a,9.236796,2.5398870182105877e-20,1.0698004120702995e-16
Bsg,8.965211,3.096889328894185e-19,1.1594753647379827e-15
Ptprb,8.801797,1.346423753688136e-18,4.5369094804275436e-15
Pltp,8.639635,5.6392899251180126e-18,1.7274683028797867e-14
Adgrf5,8.509905,1.7407554843152948e-17,4.8880413999573476e-14
Hmcn1,8.356308,6.471144731724462e-17,1.6773207144629806e-13
Itm2a,8.295582,1.0805512466129562e-16,2.6007324861335835e-13
Ccdc141,8.287017,1.1612456628886478e-16,2.6086222571130584e-13
Kdr,8.194435,2.517732822471731e-16,5.302345324125465e-13
Ly6c1,8.071827,6.925408313714506e-16,1.2964364363273554e-12
Ets1,7.731142,1.0658617276545204e-14,7.56608373591225e-12
Lef1,7.696111,1.4027000013757173e-14,8.704376131889771e-12
Ly6a,7.6064167,2.8180009754083494e-14,1.1966988288499627e-11
