cluster,rank,gene,score,pval,pval_adj
cluster_3,19,Nhs,13.951712,3.071458771890812e-44,5.17479373888164e-41
cluster_4,0,Cux2,12.428991,1.81914619266808e-35,3.4923107963337365e-31
cluster_4,1,Trps1,12.4185505,2.0728340434079633e-35,3.4923107963337365e-31
cluster_4,2,Camk2d,12.343099,5.30734372705923e-35,5.961208474232927e-31
cluster_4,3,Necab1,12.226698,2.2385510031685805e-34,1.885755365069212e-30
cluster_4,4,Hs6st3,12.1805935,3.944032704641756e-34,2.6579625203121723e-30
cluster_4,5,Asap1,12.082239,1.3110025246369624e-33,7.36259017836118e-30
cluster_4,6,Cdh20,12.033084,2.380986400673813e-33,1.1461388251014972e-29
cluster_4,7,Ptprk,12.01826,2.849089581720609e-33,1.2000365318207205e-29
cluster_4,8,Adcy8,11.879903,1.5054298701081225e-32,5.63632943368481e-29
cluster_4,9,Hdac9,11.818802,3.121041404346362e-32,1.0516661116085501e-28
cluster_4,10,Epha3,11.466034,1.9541196458929905e-30,5.986001417091837e-27
cluster_4,11,Mlip,11.341254,8.196102816712643e-30,2.30146567093291e-26
cluster_4,12,Rspo2,11.191511,4.4872236394691055e-29,1.1630883673503922e-25
cluster_4,13,Angpt1,11.004212,3.646868632448383e-28,8.777491817070052e-25
cluster_4,14,Cux1,10.922874,8.961417934132518e-28,2.013092924723529e-24
cluster_4,15,Lingo2,10.848797,2.0206674023876817e-27,4.255525549428458e-24
cluster_4,16,Grm8,10.757876,5.4409296864242994e-27,1.0784562747867834e-23
cluster_4,17,Pdzrn3,10.707862,9.349615284899546e-27,1.7502479813331947e-23
cluster_4,18,Fhod3,10.614105,2.5623664358951587e-26,4.544289443364383e-23
cluster_4,19,Prickle2,10.51442,7.413584822652321e-26,1.2490407709204631e-22
cluster_5,0,Zbtb20,16.52945,2.2518827844447724e-61,7.587944230465104e-57
cluster_5,1,Shisa6,16.035517,7.21803409141611e-58,1.216094383721786e-53
cluster_5,2,Sema3e,15.378767,2.272330108247169e-53,2.5522811775832198e-49
cluster_5,3,Grik4,15.2714615,1.1848765658680057e-52,9.98140019087208e-49
cluster_5,4,Nr3c2,15.181194,4.7112731517511876e-52,3.175021202428161e-48
cluster_5,5,Nkain3,14.993545,8.091691641765594e-51,4.544294026015558e-47
cluster_5,6,Galnt17,14.7663355,2.4149111524589068e-49,1.1624692313322189e-45
cluster_5,7,Ryr3,14.591827,3.166016453122101e-48,1.3335261300550289e-44
cluster_5,8,Akap13,14.549413,5.89066223114636e-48,2.205463939341197e-44
cluster_5,9,Cacnb2,13.977538,2.1375608288633914e-44,7.202724968938084e-41
cluster_5,10,Thsd7b,13.933809,3.947309763065638e-44,1.209168634329634e-40
cluster_5,11,Dock4,13.909611,5.538009629111175e-44,1.555073103854418e-40
cluster_5,12,Msra,13.869144,9.74320805661612e-44,2.4775211767549594e-40
cluster_5,13,Chrna7,13.865202,1.0293594632766332e-43,2.4775211767549594e-40
cluster_5,14,Rnf182,13.841275,1.4363470195861211e-43,3.2266099447982623e-40
cluster_5,15,Gria1,13.806836,2.317898148675622e-43,4.88149350111086e-40
cluster_5,16,Iqgap2,13.757669,4.580554414216685e-43,9.079197737732083e-40
cluster_5,17,Susd6,13.743668,5.558727278686122e-43,1.040593746570042e-39
cluster_5,18,Zeb2,13.7038355,9.63000787105336e-43,1.707856553805337e-39
cluster_5,19,Epha4,13.663641,1.6739985248744245e-42,2.8203527147084307e-39
cluster_6,0,Slc1a3,14.318999,1.6650344556516769e-46,5.61050010176389e-42
cluster_6,1,Atp1a2,14.201474,8.970508797194787e-46,1.5113513221513775e-41
cluster_6,2,Plpp3,14.011784,1.3204619722831656e-44,1.4831428872684515e-40
cluster_6,3,Gli3,13.291927,2.578486352906247e-40,2.172116903688222e-36
cluster_6,4,Slc1a2,13.015676,9.965684942879906e-39,6.716074396705627e-35
cluster_6,5,Nhsl1,12.895731,4.757323669338226e-38,2.6717129727003476e-34
cluster_6,6,Slco1c1,12.783232,2.0343691089330793e-37,9.792871642087006e-34
cluster_6,7,Lama2,12.565122,3.2836872080324506e-36,1.3830890520232682e-32
cluster_6,8,Pla2g7,12.270441,1.305409467995715e-34,4.887453048175956e-31
cluster_6,9,Slc7a11,12.215464,2.5703308227747186e-34,8.660986740421692e-31
cluster_6,10,Gpc5,12.16998,4.491939317901966e-34,1.3619697650728242e-30
cluster_6,11,Slc4a4,12.1637125,4.850319676185271e-34,1.3619697650728242e-30
cluster_6,12,Prex2,12.140568,6.437799426396342e-34,1.668677611321932e-30
cluster_6,13,Gm6145,11.853209,2.071067498507881e-32,4.984763602122969e-29
cluster_6,14,Apoe,11.728485,9.107372335503469e-32,2.0458801214474994e-28
cluster_6,15,Phkg1,11.69535,1.3463092574818024e-31,2.835327296256676e-28
cluster_6,16,Rorb,11.604445,3.9121743188486883e-31,7.754389755760317e-28
cluster_6,17,Slc39a12,11.356488,6.885715619168327e-30,1.2890059639083107e-26
cluster_6,18,Gja1,11.197576,4.1904628855620425e-29,7.43167565220519e-26
cluster_6,19,Ptprz1,11.192053,4.4598759242134345e-29,7.513998957114795e-26
cluster_7,0,Flt1,11.450767,2.3307450423742983e-30,7.853678494784436e-26
cluster_7,1,Slco1a4,10.909905,1.0336380858068329e-27,1.741473446967352e-23
cluster_7,2,Adgrl4,9.884193,4.8749083611166774e-23,5.475497071206252e-19
cluster_7,3,Cldn5,9.609914,7.261006029159652e-22,6.116671478964091e-18
cluster_7,4,Ebf1,9.553517,1.2536590165750546e-21,8.448658844502609e-18
cluster_7,5,Mecom,9.369894,7.260534655526834e-21,3.671355602944302e-17
cluster_7,6,Slco1c1,9.364697,7.626866459107939e-21,3.671355602944302e-17
cluster_7,7,Abcb1a,9.236796,2.5398870182105877e-20,1.0698004120702995e-16
cluster_7,8,Bsg,8.965211,3.096889328894185e-19,1.1594753647379827e-15
cluster_7,9,Ptprb,8.801797,1.346423753688136e-18,4.5369094804275436e-15
cluster_7,10,Pltp,8.639635,5.6392899251180126e-18,1.7274683028797867e-14
cluster_7,11,Adgrf5,8.509905,1.7407554843152948e-17,4.8880413999573476e-14
cluster_7,12,Hmcn1,8.356308,6.471144731724462e-17,1.6773207144629806e-13
cluster_7,13,Itm2a,8.295582,1.0805512466129562e-16,2.6007324861335835e-13
cluster_7,14,Ccdc141,8.287017,1.1612456628886478e-16,2.6086222571130584e-13
cluster_7,15,Kdr,8.194435,2.517732822471731e-16,5.302345324125465e-13
cluster_7,16,Ly6c1,8.071827,6.925408313714506e-16,1.2964364363273554e-12
cluster_7,17,Ets1,7.731142,1.0658617276545204e-14,7.56608373591225e-12
cluster_7,18,Lef1,7.696111,1.4027000013757173e-14,8.704376131889771e-12
cluster_7,19,Ly6a,7.6064167,2.8180009754083494e-14,1.1966988288499627e-11
cluster_8,0,Cdr1,0.38138804,0.7029153343679155,1.0
cluster_8,1,Spem3,0.3043135,0.7608890597809451,1.0
cluster_8,2,Or4c3,0.3006704,0.7636658483480434,1.0
cluster_8,3,Cabp2,0.3006704,0.7636658483480434,1.0
cluster_8,4,Gm30889,0.2970273,0.7664456802035811,1.0
cluster_8,5,Gm28881,0.2970273,0.7664456802035811,1.0
cluster_8,6,mt-Nd6,0.29497802,0.7680106603976457,1.0
cluster_8,7,Gm26783,0.29338416,0.7692285217481569,1.0
cluster_8,8,Gm21655,0.28974107,0.7720143392660584,1.0
cluster_8,9,Avpr2,0.28974107,0.7720143392660584,1.0
cluster_8,10,Cldn19,0.28974107,0.7720143392660584,1.0
cluster_8,11,H2bc24,0.28609794,0.7748030989264802,1.0
cluster_8,12,Gm48556,0.28609794,0.7748030989264802,1.0
cluster_8,13,Alx1,0.2859841,0.7748902947033997,1.0
cluster_8,14,Gm47059,0.28245485,0.7775947667847495,1.0
cluster_8,15,Gm34215,0.28245485,0.7775947667847495,1.0
cluster_8,16,Apom,0.28245485,0.7775947667847495,1.0
cluster_8,17,Gm14097,0.282341,0.7776820528946595,1.0
cluster_8,18,Gm44071,0.27960867,0.7797777588601094,1.0
cluster_8,19,Gpr151,0.27881172,0.7803893087835585,1.0
cluster_9,0,Bnc2,9.213036,3.170301988126439e-20,1.068264957919085e-15
cluster_9,1,Slc47a1,8.92519,4.449366014687728e-19,7.496291861545883e-15
cluster_9,2,Mgp,8.778549,1.655973107681553e-18,1.8599889945479202e-14
cluster_9,3,Adamtsl3,8.513139,1.6928763887675853e-17,1.4260790698978138e-13
cluster_9,4,Slc38a2,8.470927,2.4344717780239767e-17,1.6406392206459185e-13
cluster_9,5,Foxp2,8.420506,3.748645990039309e-17,2.096307327448115e-13
cluster_9,6,Cped1,8.402926,4.354864462291312e-17,2.096307327448115e-13
cluster_9,7,Phldb2,8.297225,1.0657127227097412e-16,4.4887819880534296e-13
cluster_9,8,Slc26a7,8.240442,1.715750718566654e-16,6.423770690313552e-13
cluster_9,9,Tbx15,8.087325,6.098913252634181e-16,2.0550898096076137e-12
cluster_9,10,Gulp1,7.768602,7.935724928571125e-15,2.430928974483024e-11
cluster_9,11,Sned1,7.0411806,1.9061753333517716e-12,4.282032268841419e-09
cluster_9,12,Prdm6,7.018861,2.236844260749986e-12,4.663143192130164e-09
cluster_9,13,Eya2,7.0118065,2.352606667444587e-12,4.663143192130164e-09
cluster_9,14,Gja1,6.9731803,3.098553348306626e-12,5.165019153644446e-09
cluster_9,15,Zic4,6.9043703,5.042667682667102e-12,6.891470999717066e-09
cluster_9,16,Gm26740,6.8159,9.367545747722546e-12,1.0735354044303155e-08
cluster_9,17,Foxd1,6.6905384,2.223510096835292e-11,1.783890386261e-08
cluster_9,18,Nxn,6.6819806,2.3573439954669667e-11,1.841268893528665e-08
cluster_9,19,Efemp1,6.666368,2.622110759099389e-11,1.9071043031924933e-08
