resolution,n_clusters,overall_score,silhouette_score_normalized_contribution,davies_bouldin_score_normalized_contribution,calinski_harabasz_score_normalized_contribution,avg_marker_genes_normalized_contribution,marker_gene_score_normalized_contribution,marker_gene_significance_normalized_contribution,cluster_separation_score_normalized_contribution
0.05,9,0.7835592805000358,0.35,0.22,0.22,0.0,0.08,0.07342370981582852,0.0
0.13,10,0.6847978352724843,0.09610859,0.123534861202063,0.19505074156645066,0.0,0.08,0.08,0.0121992
0.22,14,0.4010395919418766,0.0,0.08255716406705552,0.11074146443988327,0.0,0.0,0.07091203002354146,0.033974126
0.3,19,0.41626293360983246,0.10857825,0.07060134262053502,0.04701202122113701,0.0,0.02666666666666666,0.02048423167719785,0.045431215
0.38,20,0.5422770170885554,0.08415211,0.08827043183324182,0.04722797451794564,0.0,0.08,0.006043954259235227,0.04487794
0.47,22,0.6389683116341831,0.30462313,0.10664625974646122,0.034645633103742496,0.0,0.08,0.008418771719669043,0.043286256
0.55,22,0.6162478295304149,0.3099843,0.04621443437201672,0.03610871431700405,0.0,0.08,0.006768596528689081,0.044764075
0.63,23,0.5742047112450047,0.2504546,0.05420669617891862,0.02690217865665116,0.0,0.08,0.001707884058863936,0.043932408
0.72,24,0.43286383590303235,0.14939412,0.01625663206394633,0.01977221785665288,0.0,0.04800000000000001,0.0071975684645471365,0.046116777
0.8,28,0.4423699925343196,0.17664108,0.0,0.0,0.0,0.053333333333333344,0.0,0.05
