,Marker 1,Marker 2,Marker 3,Marker 4,Marker 5,Marker 6,Marker 7,Marker 8,Marker 9,Marker 10
0,Pla2g15,Tcof1,Flcn,Lratd1,Eef1e1,Rpp21,Usf1,Dph3,Rnf181,Pex11b
1,H2-Q4,Myct1,Cdkn2b,Gm14553,CJ186046Rik,Rtp3,Ccrl2,4933402J07Rik,Gja4,Tfap2a
2,Irf2bp1,ENSMUSG00000121304,H1f0,H1f3,Sdf2l1,H2ac18,Lor,Ebp,Mrpl34,Apex1
3,Gpha2,Gm46658,Cyp24a1,Gm12867,Gm42457,Gm10415,Cd79b,Ces1f,Banf2os,Retnlg
4,H2-Ab1,Fam151a,Ascl2,Gm56927,Epx,Gm35551,Cxcl11,4833403J16Rik,Gm45218,Rbm46os
5,Gm49984,Gm32652,Asgr2,Sspnos,Gm48709,Gm14453,1810010K12Rik,Gm56879,Gm57258,Pbp2
6,Gm49808,F530104D19Rik,Ankrd66,Atp6v0d2,1700045H11Rik,Gata2,Gm36486,Gm1110,Ly9,Gm38410
7,Cd74,Gbp6,Tnfsf8,Nxph4,Dnajc5g,2810414N06Rik,Gm10635,Gm57009,Raet1e,Gm20560
8,Cyyr1,F13a1,Top2a,Slc14a1,ENSMUSG00000121501,Mlph,H2ac24,Chrnd,Myog,Gm20560
