resolution,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,avg_marker_genes,marker_gene_score,marker_gene_significance,cluster_separation_score,overall_score,silhouette_score_filled,silhouette_score_normalized,davies_bouldin_score_filled,davies_bouldin_score_normalized,calinski_harabasz_score_filled,calinski_harabasz_score_normalized,avg_marker_genes_filled,avg_marker_genes_normalized,marker_gene_score_filled,marker_gene_score_normalized,marker_gene_significance_filled,marker_gene_significance_normalized,cluster_separation_score_filled,cluster_separation_score_normalized
0.05,9,0.14681709,-1.4197910446875417,1063.4726772707147,10.0,1.0,46.78775331844243,-2.445069,0.7835592805000358,0.14681709,1.0,-1.4197910446875417,1.0,1063.4726772707147,1.0,10.0,1.0,1.0,1.0,46.78775331844243,0.9177963726978565,-2.445069,0.0
0.13,10,0.1330161,-1.6555579759605064,1006.3740705663869,10.0,1.0,49.934004575310176,-1.5923433,0.6847978352724843,0.1330161,0.27459598,-1.6555579759605064,0.5615220963730136,1006.3740705663869,0.886594279847503,10.0,1.0,1.0,1.0,49.934004575310176,1.0,-1.5923433,0.24398398
0.22,14,0.12779184,-1.7557100726095425,813.4247583053565,5.5,0.5,45.58610687614389,-0.07027294,0.4010395919418766,0.12779184,0.0,-1.7557100726095425,0.37525983666843415,813.4247583053565,0.5033702929085603,5.5,0.0,0.5,0.0,45.58610687614389,0.8864003752942683,-0.07027294,0.6794825
0.3,19,0.13369392,-1.784930860226902,667.5742343899924,8.333333333333334,0.6666666666666666,21.46026700518847,0.7305791,0.41626293360983246,0.13369392,0.31022358,-1.784930860226902,0.3209151937297047,667.5742343899924,0.2136910055506228,8.333333333333334,0.6296296296296298,0.6666666666666666,0.33333333333333326,21.46026700518847,0.2560528959649731,0.7305791,0.9086243
0.38,20,0.13236617,-1.741746483010651,668.0684628013827,10.0,1.0,14.551700061908463,0.6919051,0.5422770170885554,0.13236617,0.2404346,-1.741746483010651,0.4012292356056446,668.0684628013827,0.21467261144520744,10.0,1.0,1.0,1.0,14.551700061908463,0.07554942824044034,0.6919051,0.89755875
0.47,22,0.1443505,-1.6968347914847122,639.2726504632059,10.0,1.0,15.687868358998703,0.5806462,0.6389683116341831,0.1443505,0.8703518,-1.6968347914847122,0.4847557261202783,639.2726504632059,0.1574801504715568,10.0,1.0,1.0,1.0,15.687868358998703,0.10523464649586305,0.5806462,0.8657251
0.55,22,0.14464192,-1.8445340142018536,642.6210425204293,10.0,1.0,14.898385896505028,0.6839461,0.6162478295304149,0.14464192,0.88566947,-1.8445340142018536,0.2100656107818942,642.6210425204293,0.16413051962274566,10.0,1.0,1.0,1.0,14.898385896505028,0.08460745660861352,0.6839461,0.8952815
0.63,23,0.14140601,-1.8250004182974264,621.5510632190416,10.0,1.0,12.47722251670815,0.6258126,0.5742047112450047,0.14140601,0.71558464,-1.8250004182974264,0.2463940735405392,621.5510632190416,0.12228263025750527,10.0,1.0,1.0,1.0,12.47722251670815,0.0213485507357992,0.6258126,0.87864816
0.72,24,0.13591258,-1.9177527873863374,605.2335109911592,8.2,0.8,15.10361611818881,0.7785,0.43286383590303235,0.13591258,0.42684036,-1.9177527873863374,0.07389378210884695,605.2335109911592,0.08987371753024036,8.2,0.5999999999999999,0.8,0.6000000000000001,15.10361611818881,0.0899696058068392,0.7785,0.9223355
0.8,28,0.13739367,-1.9574850295446027,559.9830241249368,9.333333333333334,0.8333333333333334,11.660130780136305,1.0499378,0.4423699925343196,0.13739367,0.5046888,-1.9574850295446027,0.0,559.9830241249368,0.0,9.333333333333334,0.851851851851852,0.8333333333333334,0.6666666666666667,11.660130780136305,0.0,1.0499378,1.0
